# Source: MeteoSwiss
# Station: Bern/Zollikofen
# Elevation: 553 m above sea level
# Coordinates: 46.99 N, 7.46 E
# Climate region: Central Plateau
# Reference period: 1991-2020
# Source sheet version: climsheet 2.2.0, status 2024
month,month_number,reference_month_days,temperature_mean_c,temperature_daily_max_mean_c,temperature_daily_min_mean_c,ice_days,frost_days,summer_days,heat_days,sunshine_hours,sunshine_pct,precipitation_total_mm,precip_days_ge_1mm,precip_days_ge_5mm,precip_days_ge_10mm,precip_days_ge_50mm,precip_q0_mm,precip_q20_mm,precip_q40_mm,precip_q60_mm,precip_q80_mm,precip_q100_mm,snow_cover_days,humidity_pct,wind_m_s
Jan,1,31,0.2,3.4,-2.9,7.7,23.8,0.0,0.0,66,26,60,9.5,4.1,1.7,0.0,11,30,43,53,86,149,9.7,84,1.8
Feb,2,28.2666667,1.1,5.2,-2.8,4.2,21.3,0.0,0.0,94,35,56,8.7,4.2,1.7,0.0,8,30,38,55,85,123,8.1,79,2.0
Mar,3,31,5.2,10.3,0.3,0.5,14.1,0.0,0.0,151,44,65,9.5,4.3,2.2,0.0,20,35,48,63,77,248,2.3,73,2.2
Apr,4,30,9.0,14.5,3.4,0.0,4.8,0.3,0.0,179,47,78,9.6,5.2,2.6,0.1,13,41,55,84,118,209,0.3,70,2.1
May,5,31,13.2,18.6,7.6,0.0,0.2,2.9,0.1,197,45,112,12.1,7.0,3.9,0.0,34,76,85,127,161,189,0.0,72,2.0
Jun,6,30,16.9,22.5,11.3,0.0,0.0,10.1,1.6,223,50,102,11.4,6.4,3.4,0.0,41,70,82,107,141,183,0.0,72,2.0
Jul,7,31,18.8,24.6,13.0,0.0,0.0,15.5,3.9,245,55,108,10.8,6.6,3.9,0.1,38,62,83,119,149,252,0.0,71,1.9
Aug,8,31,18.4,24.2,12.9,0.0,0.0,14.0,3.4,228,56,112,11.0,6.4,3.9,0.1,10,75,93,114,159,224,0.0,73,1.7
Sep,9,30,14.1,19.4,9.2,0.0,0.0,3.3,0.0,175,50,87,8.6,5.3,3.0,0.1,17,49,71,92,130,162,0.0,79,1.7
Oct,10,31,9.5,14.0,5.5,0.0,2.1,0.0,0.0,119,38,86,10.4,5.5,3.4,0.0,11,50,72,93,125,163,0.1,84,1.6
Nov,11,30,4.2,7.7,1.0,1.0,11.3,0.0,0.0,66,26,77,10.1,4.8,2.4,0.0,4,35,57,85,127,183,1.6,86,1.6
Dec,12,31,0.9,3.8,-2.1,5.4,21.6,0.0,0.0,53,22,78,10.6,5.4,2.6,0.0,1,37,67,88,124,152,6.4,86,1.8
