month,month_label,quantile,reference_mm,simulated_mm,difference_mm,absolute_difference_mm
1,Jan,0,11.0,19.841033333333332,8.841033333333332,8.841033333333332
1,Jan,20,30.0,43.497753333333335,13.497753333333335,13.497753333333335
1,Jan,40,43.0,63.75211999999999,20.75211999999999,20.75211999999999
1,Jan,60,53.0,91.98444,38.984440000000006,38.984440000000006
1,Jan,80,86.0,109.69577333333334,23.695773333333335,23.695773333333335
1,Jan,100,149.0,158.0855333333333,9.085533333333302,9.085533333333302
2,Feb,0,8.0,15.978204463286664,7.978204463286664,7.978204463286664
2,Feb,20,30.0,35.02258848574466,5.022588485744663,5.022588485744663
2,Feb,40,38.0,49.98112005894,11.98112005894,11.98112005894
2,Feb,60,55.0,65.64575296630133,10.64575296630133,10.64575296630133
2,Feb,80,85.0,94.46437344473,9.46437344473,9.46437344473
2,Feb,100,123.0,111.12851568660332,-11.871484313396678,11.871484313396678
3,Mar,0,20.0,8.740966666666665,-11.259033333333335,11.259033333333335
3,Mar,20,35.0,47.75653333333333,12.75653333333333,12.75653333333333
3,Mar,40,48.0,65.72041333333333,17.720413333333326,17.720413333333326
3,Mar,60,63.0,85.28038,22.280379999999994,22.280379999999994
3,Mar,80,77.0,113.37134,36.371340000000004,36.371340000000004
3,Mar,100,248.0,166.64256666666668,-81.35743333333332,81.35743333333332
4,Apr,0,13.0,18.381,5.381,5.381
4,Apr,20,41.0,68.8336,27.833600000000004,27.833600000000004
4,Apr,40,55.0,86.99480000000001,31.994800000000012,31.994800000000012
4,Apr,60,84.0,98.6774,14.677400000000006,14.677400000000006
4,Apr,80,118.0,119.8392,1.8392000000000053,1.8392000000000053
4,Apr,100,209.0,172.054,-36.946,36.946
5,May,0,34.0,40.53146666666667,6.531466666666667,6.531466666666667
5,May,20,76.0,80.52952666666668,4.529526666666683,4.529526666666683
5,May,40,85.0,98.65274666666667,13.652746666666673,13.652746666666673
5,May,60,127.0,125.33279333333333,-1.6672066666666723,1.6672066666666723
5,May,80,161.0,149.52188666666666,-11.47811333333334,11.47811333333334
5,May,100,189.0,255.3738666666667,66.37386666666669,66.37386666666669
6,Jun,0,41.0,53.137,12.137,12.137
6,Jun,20,70.0,93.2304,23.230400000000003,23.230400000000003
6,Jun,40,82.0,122.041,40.041,40.041
6,Jun,60,107.0,133.884,26.883999999999986,26.883999999999986
6,Jun,80,141.0,154.16760000000002,13.167600000000022,13.167600000000022
6,Jun,100,183.0,215.918,32.918000000000006,32.918000000000006
7,Jul,0,38.0,35.70993333333333,-2.290066666666668,2.290066666666668
7,Jul,20,62.0,63.75728666666666,1.7572866666666584,1.7572866666666584
7,Jul,40,83.0,83.69132,0.6913200000000046,0.6913200000000046
7,Jul,60,119.0,108.60912,-10.390879999999996,10.390879999999996
7,Jul,80,149.0,140.93447333333336,-8.065526666666642,8.065526666666642
7,Jul,100,252.0,206.7514,-45.24860000000001,45.24860000000001
8,Aug,0,10.0,20.788600000000002,10.788600000000002,10.788600000000002
8,Aug,20,75.0,79.56542666666668,4.565426666666681,4.565426666666681
8,Aug,40,93.0,106.40522666666668,13.405226666666678,13.405226666666678
8,Aug,60,114.0,134.30047333333331,20.300473333333315,20.300473333333315
8,Aug,80,159.0,166.90606666666667,7.906066666666675,7.906066666666675
8,Aug,100,224.0,238.62043333333335,14.620433333333352,14.620433333333352
9,Sep,0,17.0,35.5,18.5,18.5
9,Sep,20,49.0,63.5888,14.588799999999999,14.588799999999999
9,Sep,40,71.0,89.37379999999999,18.37379999999999,18.37379999999999
9,Sep,60,92.0,118.1116,26.111599999999996,26.111599999999996
9,Sep,80,130.0,134.2914,4.29140000000001,4.29140000000001
9,Sep,100,162.0,190.034,28.033999999999992,28.033999999999992
10,Oct,0,11.0,13.633799999999999,2.633799999999999,2.633799999999999
10,Oct,20,50.0,55.417046666666664,5.417046666666664,5.417046666666664
10,Oct,40,72.0,82.46558,10.465580000000003,10.465580000000003
10,Oct,60,93.0,104.27904,11.279039999999995,11.279039999999995
10,Oct,80,125.0,128.7334933333333,3.733493333333314,3.733493333333314
10,Oct,100,163.0,196.1432,33.14320000000001,33.14320000000001
11,Nov,0,4.0,25.341,21.341,21.341
11,Nov,20,35.0,48.0808,13.080800000000004,13.080800000000004
11,Nov,40,57.0,73.3948,16.394800000000004,16.394800000000004
11,Nov,60,85.0,94.2626,9.262600000000006,9.262600000000006
11,Nov,80,127.0,117.9726,-9.0274,9.0274
11,Nov,100,183.0,198.12,15.120000000000005,15.120000000000005
12,Dec,0,1.0,17.112,16.112,16.112
12,Dec,20,37.0,47.029273333333336,10.029273333333336,10.029273333333336
12,Dec,40,67.0,57.05798,-9.94202,9.94202
12,Dec,60,88.0,84.03169999999999,-3.9683000000000135,3.9683000000000135
12,Dec,80,124.0,102.34174666666667,-21.658253333333334,21.658253333333334
12,Dec,100,152.0,214.6471,62.647099999999995,62.647099999999995
