seed,model_year_index,month,temperature_mean_c,temperature_daily_max_mean_c,temperature_daily_min_mean_c,precipitation_native_30d_mm,sunshine_native_30d_hours,humidity_pct,wind_m_s,ice_days_native_30d,frost_days_native_30d,summer_days_native_30d,heat_days_native_30d,snow_cover_days_native_30d,precip_days_ge_1mm_native_30d,precip_days_ge_5mm_native_30d,precip_days_ge_10mm_native_30d,precip_days_ge_50mm_native_30d,precipitation_total_mm,sunshine_hours,ice_days,frost_days,summer_days,heat_days,snow_cover_days,precip_days_ge_1mm,precip_days_ge_5mm,precip_days_ge_10mm,precip_days_ge_50mm,sunshine_pct,month_label
3263,0,1,0.15868055555555555,3.6405666666666665,-3.395766666666667,32.555,69.591,84.45080694444444,1.8616569444444444,0,30,0,0,7,9,1,0,0,33.640166666666666,71.91069999999999,0.0,31.0,0.0,0.0,7.233333333333333,9.299999999999999,1.0333333333333332,0.0,0.0,25.77444444444445,Jan
3263,0,2,0.7237347222222221,4.612733333333334,-3.076733333333333,97.805,88.698,80.30678611111111,2.040172222222222,0,28,0,0,10,9,7,4,0,92.15404455311668,83.57322676521999,0.0,26.38222225333333,0.0,0.0,9.422222233333333,8.48000001,6.595555563333333,3.768888893333333,0.0,28.456207892204034,Feb
3263,0,3,4.939295833333333,10.134266666666667,-0.4078666666666667,63.684,137.778,73.56238888888888,2.2582680555555554,0,18,0,0,2,11,4,1,0,65.8068,142.3706,0.0,18.599999999999998,0.0,0.0,2.0666666666666664,11.366666666666665,4.133333333333333,1.0333333333333332,0.0,38.52852348993288,Mar
3263,0,4,8.7886125,14.762733333333333,2.4987333333333335,87.08000000000001,204.376,70.73328194444444,2.1948097222222223,0,2,0,0,0,13,6,4,0,87.08000000000001,204.376,0.0,2.0,0.0,0.0,0.0,13.0,6.0,4.0,0.0,49.908669108669116,Apr
3263,0,5,12.938186111111111,19.372999999999998,6.517633333333333,100.151,200.771,72.90016805555555,2.102063888888889,0,0,0,0,0,12,7,4,0,103.48936666666665,207.46336666666667,0.0,0.0,0.0,0.0,0.0,12.4,7.233333333333333,4.133333333333333,0.0,44.26168430335096,May
3263,0,6,16.557961111111112,23.586066666666667,9.808733333333333,141.802,221.771,73.0546125,2.0971444444444445,0,0,9,0,0,12,9,7,0,141.802,221.771,0.0,0.0,9.0,0.0,0.0,12.0,9.0,7.0,0.0,46.37620242576328,Jun
3263,0,7,19.00717361111111,26.6578,10.690233333333333,136.841,229.903,71.60478333333334,1.9877819444444442,0,1,19,5,0,13,6,3,0,141.4023666666667,237.56643333333332,0.0,1.0333333333333332,19.633333333333333,5.166666666666666,0.0,13.433333333333334,6.2,3.1,0.0,49.18763371844245,Jul
3263,0,8,18.830908333333333,26.43613333333333,11.363333333333333,135.063,206.767,73.31490833333334,1.785926388888889,0,0,22,2,0,11,9,6,0,139.56509999999997,213.65923333333333,0.0,0.0,22.73333333333333,2.0666666666666664,0.0,11.366666666666665,9.299999999999999,6.2,0.0,48.23116398413809,Aug
3263,0,9,13.815795833333334,19.495566666666665,7.688566666666667,87.238,180.69,79.64351666666667,1.7303722222222222,0,0,0,0,0,10,6,3,0,87.238,180.69,0.0,0.0,0.0,0.0,0.0,10.0,6.0,3.0,0.0,47.68804433887569,Sep
3263,0,10,9.336270833333334,14.411833333333334,4.129666666666667,46.467,128.627,84.29511805555556,1.579888888888889,0,0,0,0,0,4,4,2,0,48.015899999999995,132.91456666666667,0.0,0.0,0.0,0.0,0.0,4.133333333333333,4.133333333333333,2.0666666666666664,0.0,39.04887674559806,Oct
3263,0,11,4.147331944444444,8.359533333333333,-0.02429999999999999,60.278,64.935,86.56591666666667,1.6741305555555557,0,13,0,0,1,7,4,2,0,60.278,64.935,0.0,13.0,0.0,0.0,1.0,7.0,4.0,2.0,0.0,22.95334040296925,Nov
3263,0,12,0.9765375,4.447866666666667,-2.5439000000000003,80.439,54.126,86.3004861111111,1.8917416666666669,0,30,0,0,9,7,5,3,0,83.1203,55.9302,0.0,31.0,0.0,0.0,9.299999999999999,7.233333333333333,5.166666666666666,3.1,0.0,20.979069767441857,Dec
3264,1,1,0.2305263888888889,4.032033333333334,-3.433066666666667,38.007,66.706,84.27911944444445,1.8007638888888888,0,30,0,0,14,8,4,1,0,39.2739,68.92953333333334,0.0,31.0,0.0,0.0,14.466666666666667,8.266666666666666,4.133333333333333,1.0333333333333332,0.0,24.705925925925932,Jan
3264,1,2,0.9336986111111112,5.098833333333333,-3.4871333333333334,58.894,100.922,79.56374861111111,2.059640277777778,0,30,0,0,5,11,7,2,0,55.49123562099332,95.09095122324666,0.0,28.2666667,0.0,0.0,4.711111116666666,10.364444456666666,6.595555563333333,1.8844444466666666,0.0,32.37792749438562,Feb
3264,1,3,5.200441666666666,10.515600000000001,-0.3702666666666667,73.323,170.83,73.71447222222223,2.2943597222222225,0,16,0,0,3,12,6,3,0,75.76709999999999,176.52433333333335,0.0,16.53333333333333,0.0,0.0,3.1,12.4,6.2,3.1,0.0,47.771252796420576,Mar
3264,1,4,8.763176388888889,15.536366666666668,2.2596666666666665,95.209,190.965,70.98872638888889,2.160433333333333,0,2,0,0,1,14,10,2,0,95.209,190.965,0.0,2.0,0.0,0.0,1.0,14.0,10.0,2.0,0.0,46.633699633699635,Apr
3264,1,5,13.160293055555554,19.186666666666667,6.7978,87.747,187.835,72.41027916666667,2.083466666666667,0,0,0,0,0,11,7,5,0,90.67190000000001,194.09616666666668,0.0,0.0,0.0,0.0,0.0,11.366666666666665,7.233333333333333,5.166666666666666,0.0,41.40983245149911,May
3264,1,6,16.55319722222222,23.837233333333334,9.2471,139.29,220.614,73.02329166666667,2.140036111111111,0,0,10,1,0,11,7,5,0,139.29,220.614,0.0,0.0,10.0,1.0,0.0,11.0,7.0,5.0,0.0,46.134253450439154,Jun
3264,1,7,18.85293611111111,27.668033333333334,10.7617,34.558,228.923,71.24059583333333,1.949647222222222,0,0,24,5,0,4,3,1,0,35.70993333333333,236.5537666666667,0.0,0.0,24.8,5.166666666666666,0.0,4.133333333333333,3.1,1.0333333333333332,0.0,48.97796320068464,Jul
3264,1,8,18.408691666666666,26.247700000000002,10.176933333333332,168.3,207.405,73.95986805555555,1.7097055555555556,0,0,24,1,0,14,12,8,0,173.91,214.3185,0.0,0.0,24.8,1.0333333333333332,0.0,14.466666666666667,12.4,8.266666666666666,0.0,48.37998600419874,Aug
3264,1,9,13.990916666666667,20.287766666666666,7.781666666666666,62.88,195.005,79.59852916666667,1.7942180555555558,0,0,0,0,0,7,5,4,0,62.88,195.005,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,51.46608603853259,Sep
3264,1,10,9.333931944444446,14.315333333333333,4.440266666666667,122.132,119.732,84.83361111111111,1.6844916666666667,0,0,0,0,0,9,8,5,0,126.20306666666667,123.72306666666667,0.0,0.0,0.0,0.0,0.0,9.299999999999999,8.266666666666666,5.166666666666666,0.0,36.3485124468731,Oct
3264,1,11,4.100673611111111,8.4835,-0.27896666666666664,67.519,70.068,86.41552916666666,1.670775,0,16,0,0,2,7,5,3,0,67.519,70.068,0.0,16.0,0.0,0.0,2.0,7.0,5.0,3.0,0.0,24.7677624602333,Nov
3264,1,12,0.6318750000000001,4.157133333333333,-3.1065,99.621,53.649,86.99099166666666,1.9248277777777778,0,30,0,0,11,13,7,4,0,102.9417,55.4373,0.0,31.0,0.0,0.0,11.366666666666665,13.433333333333334,7.233333333333333,4.133333333333333,0.0,20.794186046511626,Dec
3265,2,1,0.039030555555555554,3.2862666666666667,-3.370433333333333,84.694,64.455,84.86055555555555,1.854738888888889,0,30,0,0,13,8,7,2,0,87.51713333333333,66.6035,0.0,31.0,0.0,0.0,13.433333333333334,8.266666666666666,7.233333333333333,2.0666666666666664,0.0,23.872222222222227,Jan
3265,2,2,0.9754069444444444,5.1163,-3.0404666666666667,67.572,106.837,79.40946666666667,2.105438888888889,0,30,0,0,10,8,4,2,0,63.66784007508,100.66419567426333,0.0,28.2666667,0.0,0.0,9.422222233333333,7.537777786666666,3.768888893333333,1.8844444466666666,0.0,34.27558549887712,Feb
3265,2,3,5.039033333333333,10.222733333333334,-0.36386666666666667,88.408,165.83,73.76561944444444,2.2987583333333332,0,16,0,0,2,12,7,3,0,91.35493333333334,171.35766666666666,0.0,16.53333333333333,0.0,0.0,2.0666666666666664,12.4,7.233333333333333,3.1,0.0,46.373042505592835,Mar
3265,2,4,8.951699999999999,15.362733333333333,2.3809,79.158,162.436,70.90013888888889,2.1433666666666666,0,1,0,0,0,10,5,3,0,79.158,162.436,0.0,1.0,0.0,0.0,0.0,10.0,5.0,3.0,0.0,39.66691086691087,Apr
3265,2,5,12.939,19.4941,6.296166666666666,131.825,178.278,72.97385694444444,2.0204375,0,0,0,0,0,14,11,5,0,136.21916666666664,184.2206,0.0,0.0,0.0,0.0,0.0,14.466666666666667,11.366666666666665,5.166666666666666,0.0,39.30291005291005,May
3265,2,6,16.86915,23.867666666666665,9.4091,129.93,214.242,72.77715833333333,2.1042694444444447,0,0,7,0,0,13,9,6,0,129.93,214.242,0.0,0.0,7.0,0.0,0.0,13.0,9.0,6.0,0.0,44.801756587202014,Jun
3265,2,7,18.85899305555556,27.0673,10.048933333333334,113.42399999999999,249.196,71.49079166666667,1.9692625,0,0,24,5,0,6,5,4,0,117.20479999999999,257.5025333333333,0.0,0.0,24.8,5.166666666666666,0.0,6.2,5.166666666666666,4.133333333333333,0.0,53.31536157466838,Jul
3265,2,8,17.885637499999998,25.521666666666665,10.479700000000001,85.816,251.93,73.76121944444444,1.7552375,0,0,19,0,0,10,5,3,0,88.67653333333334,260.3276666666667,0.0,0.0,19.633333333333333,0.0,0.0,10.333333333333332,5.166666666666666,3.1,0.0,58.76603685560998,Aug
3265,2,9,14.073919444444444,19.957333333333334,7.8431999999999995,57.92,186.12199999999999,79.69525416666667,1.7451708333333333,0,0,0,0,0,8,6,1,0,57.92,186.12199999999999,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,0.0,49.12166798627605,Sep
3265,2,10,9.414290277777779,14.639166666666666,4.082566666666667,54.032999999999994,123.244,84.37951249999999,1.6601972222222223,0,0,0,0,0,7,4,2,0,55.83409999999999,127.35213333333333,0.0,0.0,0.0,0.0,0.0,7.233333333333333,4.133333333333333,2.0666666666666664,0.0,37.41469338190649,Oct
3265,2,11,4.039876388888889,8.392033333333334,-0.44106666666666666,118.11500000000001,70.553,86.86689027777778,1.6600041666666667,0,17,0,0,5,10,8,6,0,118.11500000000001,70.553,0.0,17.0,0.0,0.0,5.0,10.0,8.0,6.0,0.0,24.939201131141747,Nov
3265,2,12,0.8228194444444444,4.467833333333333,-2.5754666666666663,74.459,56.269,86.8094763888889,1.9057069444444443,0,30,0,0,7,10,6,2,0,76.94096666666667,58.14463333333333,0.0,31.0,0.0,0.0,7.233333333333333,10.333333333333332,6.2,2.0666666666666664,0.0,21.80968992248062,Dec
3266,3,1,0.16256944444444443,3.6378666666666666,-3.3634666666666666,39.879,66.72,84.57040694444444,1.8968763888888889,0,30,0,0,9,6,2,2,0,41.208299999999994,68.94399999999999,0.0,31.0,0.0,0.0,9.299999999999999,6.2,2.0666666666666664,2.0666666666666664,0.0,24.711111111111116,Jan
3266,3,2,0.8625972222222222,4.808133333333333,-3.1909,88.26599999999999,94.601,79.94372361111111,2.0675819444444445,0,30,0,0,8,9,8,4,0,83.16618676473999,89.13516454955665,0.0,28.2666667,0.0,0.0,7.537777786666666,8.48000001,7.537777786666666,3.768888893333333,0.0,30.350016041065125,Feb
3266,3,3,5.255959722222221,10.421566666666667,-0.1209,44.548,135.896,73.57872083333334,2.282798611111111,0,18,0,0,2,6,4,2,0,46.03293333333334,140.42586666666665,0.0,18.599999999999998,0.0,0.0,2.0666666666666664,6.2,4.133333333333333,2.0666666666666664,0.0,38.00223713646532,Mar
3266,3,4,9.152955555555556,15.193033333333334,3.0313999999999997,127.761,184.749,70.82194861111111,2.149868055555556,0,0,0,0,0,12,8,6,0,127.76100000000001,184.749,0.0,0.0,0.0,0.0,0.0,12.0,8.0,6.0,0.0,45.11575091575091,Apr
3266,3,5,13.100622222222222,19.7399,6.4174,91.279,206.54500000000002,72.54874583333334,2.0898944444444445,0,0,0,0,0,11,7,2,0,94.32163333333334,213.42983333333333,0.0,0.0,0.0,0.0,0.0,11.366666666666665,7.233333333333333,2.0666666666666664,0.0,45.53461199294532,May
3266,3,6,16.944230555555556,23.923866666666665,10.1953,129.429,213.387,72.59436805555556,2.0433624999999997,0,0,10,0,0,13,7,5,0,129.429,213.387,0.0,0.0,10.0,0.0,0.0,13.0,7.0,5.0,0.0,44.622961104140536,Jun
3266,3,7,18.628225,26.035833333333336,11.123466666666667,98.38,229.356,71.38078888888889,1.9324958333333333,0,0,20,2,0,8,5,5,0,101.65933333333334,237.0012,0.0,0.0,20.666666666666664,2.0666666666666664,0.0,8.266666666666666,5.166666666666666,5.166666666666666,0.0,49.070603337612326,Jul
3266,3,8,18.007791666666666,25.046266666666668,10.745433333333333,74.74600000000001,207.207,73.9326236111111,1.840827777777778,0,0,18,0,0,6,4,2,0,77.23753333333335,214.11389999999997,0.0,0.0,18.599999999999998,0.0,0.0,6.2,4.133333333333333,2.0666666666666664,0.0,48.33379986004199,Aug
3266,3,9,14.21623611111111,19.735633333333332,8.194700000000001,52.581,170.4,79.33756805555555,1.7629944444444445,0,0,0,0,0,9,3,2,0,52.581,170.4,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,0.0,44.972288202692,Sep
3266,3,10,9.681427777777778,14.696233333333334,4.573899999999999,113.478,108.572,84.26854861111111,1.6908152777777776,0,0,0,0,0,9,7,4,0,117.2606,112.19106666666667,0.0,0.0,0.0,0.0,0.0,9.299999999999999,7.233333333333333,4.133333333333333,0.0,32.960534304796596,Oct
3266,3,11,4.442541666666667,9.156766666666666,-0.07116666666666666,43.685,74.63,86.22385277777776,1.6613666666666667,0,17,0,0,1,7,4,1,0,43.685,74.63,0.0,17.0,0.0,0.0,1.0,7.0,4.0,1.0,0.0,26.380346412159774,Nov
3266,3,12,0.6838555555555555,3.959033333333333,-2.8776333333333337,52.644000000000005,53.071,86.42897777777777,1.835075,0,30,0,0,11,7,4,2,0,54.3988,54.84003333333333,0.0,31.0,0.0,0.0,11.366666666666665,7.233333333333333,4.133333333333333,2.0666666666666664,0.0,20.570155038759687,Dec
3267,4,1,-0.06713611111111112,3.204133333333333,-3.732766666666667,150.046,55.387,85.94437777777779,1.9055541666666664,0,30,0,0,18,11,9,7,0,155.04753333333332,57.23323333333334,0.0,31.0,0.0,0.0,18.599999999999998,11.366666666666665,9.299999999999999,7.233333333333333,0.0,20.513703703703708,Jan
3267,4,2,0.9695111111111111,5.046233333333333,-3.255133333333333,27.059,114.348,79.21657638888888,2.0039611111111113,0,30,0,0,4,4,2,1,0,25.495591141176664,107.74122679371999,0.0,28.2666667,0.0,0.0,3.768888893333333,3.768888893333333,1.8844444466666666,0.9422222233333333,0.0,36.68527430221366,Feb
3267,4,3,5.080127777777777,10.132900000000001,-0.2675333333333334,91.818,168.38400000000001,74.19174861111111,2.2907458333333333,0,20,0,0,3,12,9,2,0,94.8786,173.99680000000004,0.0,20.666666666666664,0.0,0.0,3.1,12.4,9.299999999999999,2.0666666666666664,0.0,47.08724832214765,Mar
3267,4,4,8.881298611111111,14.995633333333334,2.9112333333333336,75.545,167.00900000000001,70.60532361111112,2.1776,0,0,0,0,0,8,7,4,0,75.545,167.00900000000001,0.0,0.0,0.0,0.0,0.0,8.0,7.0,4.0,0.0,40.783638583638584,Apr
3267,4,5,13.06678611111111,19.2387,6.464,96.59100000000001,216.459,72.66110416666668,2.041725,0,0,0,0,0,11,5,3,0,99.81070000000001,223.6743,0.0,0.0,0.0,0.0,0.0,11.366666666666665,5.166666666666666,3.1,0.0,47.720238095238095,May
3267,4,6,16.554684722222223,23.769433333333332,9.555833333333334,143.837,243.202,73.20878888888889,2.0080541666666667,0,0,7,0,0,10,8,5,0,143.837,243.20199999999997,0.0,0.0,7.0,0.0,0.0,10.0,8.0,5.0,0.0,50.85780008364702,Jun
3267,4,7,18.530143055555552,26.455266666666667,11.131233333333334,173.145,255.11,72.04627777777777,1.9945722222222222,0,0,21,2,0,13,12,9,0,178.9165,263.6136666666667,0.0,0.0,21.7,2.0666666666666664,0.0,13.433333333333334,12.4,9.299999999999999,0.0,54.580658964484385,Jul
3267,4,8,18.011675,25.704966666666667,10.044133333333333,189.608,216.952,74.10206111111111,1.7082000000000002,0,0,20,0,0,14,13,10,0,195.92826666666667,224.18373333333335,0.0,0.0,20.666666666666664,0.0,0.0,14.466666666666667,13.433333333333334,10.333333333333332,0.0,50.606951247958946,Aug
3267,4,9,14.120698611111111,20.026999999999997,8.067933333333334,122.632,175.527,79.811625,1.7616249999999998,0,0,1,0,0,10,7,6,0,122.632,175.527,0.0,0.0,1.0,0.0,0.0,10.0,7.0,6.0,0.0,46.32541567695961,Sep
3267,4,10,9.33617638888889,14.752533333333334,4.214133333333334,84.445,119.398,84.8456125,1.6613833333333332,0,0,0,0,0,13,8,2,0,87.25983333333332,123.37793333333333,0.0,0.0,0.0,0.0,0.0,13.433333333333334,8.266666666666666,2.0666666666666664,0.0,36.24711596842744,Oct
3267,4,11,4.2658375,8.418433333333333,0.1268,56.062,70.013,86.35069444444444,1.6678430555555555,0,11,0,0,0,12,3,1,0,56.062,70.013,0.0,11.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,24.748320961470487,Nov
3267,4,12,0.7196194444444444,4.257433333333333,-2.860266666666667,50.836999999999996,52.218,86.34678611111111,1.9066069444444445,0,30,0,0,5,5,3,2,0,52.53156666666666,53.958600000000004,0.0,31.0,0.0,0.0,5.166666666666666,5.166666666666666,3.1,2.0666666666666664,0.0,20.239534883720932,Dec
3268,5,1,-0.19219027777777778,3.4434666666666667,-3.7993,152.986,60.76,86.14227361111111,1.9121333333333332,0,30,0,0,24,17,11,5,0,158.0855333333333,62.78533333333333,0.0,31.0,0.0,0.0,24.8,17.566666666666666,11.366666666666665,5.166666666666666,0.0,22.50370370370371,Jan
3268,5,2,1.0439958333333332,5.051833333333334,-2.826833333333333,38.062000000000005,111.765,79.32533888888888,2.0582527777777777,0,30,0,0,3,7,4,0,0,35.86286226451334,105.30746679084999,0.0,28.2666667,0.0,0.0,2.82666667,6.595555563333333,3.768888893333333,0.0,0.0,35.85659287776708,Feb
3268,5,3,4.888248611111111,10.335266666666666,-0.6598,30.541,159.182,73.53554722222222,2.2799888888888886,0,19,0,0,0,7,2,0,0,31.559033333333332,164.48806666666667,0.0,19.633333333333333,0.0,0.0,0.0,7.233333333333333,2.0666666666666664,0.0,0.0,44.51398210290827,Mar
3268,5,4,8.811669444444444,14.993833333333333,2.8618333333333337,131.662,175.49,71.2941,2.141995833333333,0,0,0,0,0,13,8,5,0,131.662,175.49,0.0,0.0,0.0,0.0,0.0,13.0,8.0,5.0,0.0,42.85470085470085,Apr
3268,5,5,13.037669444444445,19.393766666666668,6.775433333333334,86.1,187.833,73.13052222222223,2.0801916666666664,0,0,0,0,0,13,6,2,0,88.96999999999998,194.0941,0.0,0.0,0.0,0.0,0.0,13.433333333333334,6.2,2.0666666666666664,0.0,41.40939153439153,May
3268,5,6,16.480793055555555,23.665200000000002,9.463466666666667,158.382,217.156,73.11005138888889,2.0632680555555556,0,0,7,0,0,13,9,5,0,158.382,217.156,0.0,0.0,7.0,0.0,0.0,13.0,9.0,5.0,0.0,45.411125052279395,Jun
3268,5,7,18.524851388888887,26.215266666666665,10.668533333333333,139.97,239.164,72.55047916666668,1.9729124999999998,0,0,23,1,0,11,7,4,1,144.63566666666668,247.1361333333333,0.0,0.0,23.76666666666667,1.0333333333333332,0.0,11.366666666666665,7.233333333333333,4.133333333333333,1.0333333333333332,51.169020111253744,Jul
3268,5,8,18.586820833333334,26.089466666666667,11.094366666666668,94.971,215.948,73.4863888888889,1.7373013888888889,0,0,20,2,0,10,7,4,0,98.1367,223.1462666666667,0.0,0.0,20.666666666666664,2.0666666666666664,0.0,10.333333333333332,7.233333333333333,4.133333333333333,0.0,50.372754840214604,Aug
3268,5,9,14.163855555555555,20.0578,8.228866666666667,92.59,169.399,79.72989861111111,1.82725,0,0,0,0,0,12,7,3,0,92.59,169.399,0.0,0.0,0.0,0.0,0.0,12.0,7.0,3.0,0.0,44.708102401689096,Sep
3268,5,10,9.476952777777777,14.717066666666666,4.294233333333334,50.801,120.115,84.66660277777778,1.6914694444444445,0,0,0,0,0,8,5,2,0,52.494366666666664,124.11883333333334,0.0,0.0,0.0,0.0,0.0,8.266666666666666,5.166666666666666,2.0666666666666664,0.0,36.46478445658773,Oct
3268,5,11,4.224231944444444,8.2775,-0.13266666666666665,148.94,63.408,87.01858194444443,1.6779319444444445,0,17,0,0,0,12,8,5,1,148.94,63.408,0.0,17.0,0.0,0.0,0.0,12.0,8.0,5.0,1.0,22.4135737009544,Nov
3268,5,12,0.7972694444444444,4.174666666666666,-2.7872,99.967,54.968,87.01734166666667,1.9386097222222223,0,30,0,0,7,10,6,4,0,103.29923333333333,56.800266666666666,0.0,31.0,0.0,0.0,7.233333333333333,10.333333333333332,6.2,4.133333333333333,0.0,21.305426356589148,Dec
3269,6,1,-0.024558333333333335,3.532033333333333,-3.5876333333333337,80.914,65.425,85.1569125,1.8833069444444446,0,30,0,0,10,8,5,4,0,83.61113333333333,67.60583333333332,0.0,31.0,0.0,0.0,10.333333333333332,8.266666666666666,5.166666666666666,4.133333333333333,0.0,24.231481481481488,Jan
3269,6,2,1.029302777777778,4.957233333333334,-3.063,42.995999999999995,100.96600000000001,79.40122083333334,2.0148875,0,30,0,0,3,5,4,1,0,40.51178671443999,95.13240900107333,0.0,28.2666667,0.0,0.0,2.82666667,4.711111116666666,3.768888893333333,0.9422222233333333,0.0,32.39204363169714,Feb
3269,6,3,5.149797222222222,10.424933333333334,-0.1345,51.738,158.727,73.57273055555557,2.2858388888888888,0,15,0,0,1,8,5,1,0,53.462599999999995,164.0179,0.0,15.5,0.0,0.0,1.0333333333333332,8.266666666666666,5.166666666666666,1.0333333333333332,0.0,44.386744966442954,Mar
3269,6,4,9.050126388888888,15.321433333333335,2.8249,118.771,177.725,70.78387222222223,2.170647222222222,0,0,0,0,1,11,8,5,0,118.771,177.725,0.0,0.0,0.0,0.0,1.0,11.0,8.0,5.0,0.0,43.4004884004884,Apr
