seed,model_year_index,annual_precipitation_mm,annual_sunshine_hours,annual_temperature_mean_c,annual_snow_cover_days
3263,0,1083.5920445531167,1817.16032676522,9.18504074074074,29.02222223333333
3264,1,1064.8668356209932,1841.3256178899135,9.18002986111111,36.644444449999995
3265,2,1102.5384734084134,1859.5259290075967,9.159071412037036,37.15555556666666
3266,3,968.7413200980734,1773.2470645495566,9.261584375,31.271111119999997
3267,4,1287.9445911411767,1883.5304934603867,9.122451851851851,30.635555559999997
3268,5,1244.6173955978466,1803.3294667908501,9.153680671296296,34.86000000333333
3269,6,1184.3507200477734,1838.4338423344068,9.29732986111111,31.62666667
3270,7,959.71896900361,1810.98804678001,9.213244560185185,26.228888896666668
3271,8,1222.75142676252,1800.3366978952233,9.14984710648148,34.56888889333333
3272,9,999.3696356696934,1850.22979342937,9.190582060185186,30.99777779
3273,10,1265.3573756216067,1747.4981578848435,9.258113888888888,25.980000009999998
3274,11,1312.8905267340533,1740.8500978902232,9.098217592592592,49.80444445333333
3275,12,1086.3780312276733,1820.00558010191,9.22346886574074,32.99777779
3276,13,1042.24288227147,1799.0326623349133,9.137595254629629,31.635555559999997
3277,14,819.5852044812034,1831.1759067752134,9.257891898148149,20.451111113333333
3278,15,1219.8005511639467,1784.9480090016566,9.14833287037037,26.46888889333333
3279,16,1092.19727115507,1795.78260455497,9.31067800925926,33.82666667
3280,17,1315.2460578525934,1843.94977344658,9.293041435185184,55.98000001
3281,18,999.9947911436267,1833.0889801173435,9.152312962962963,19.177777783333333
3282,19,992.6555200484233,1819.65119346382,9.281349537037038,24.708888889999997
3283,20,834.6267667064167,1804.41538234407,9.245477546296296,38.811111116666666
3284,21,1177.8959667769666,1838.9745623368135,9.280605555555555,23.706666679999998
3285,22,1186.0831800874266,1847.7405045605867,9.195175,24.037777786666666
3286,23,1184.55562896893,1813.3288001321,9.288262615740742,27.046666676666664
3287,24,1276.1019511981967,1826.4318356649767,9.216359143518519,39.504444453333335
3288,25,1437.7666111419333,1761.0556334526334,9.167676736111112,49.66222223
3289,26,1311.82378895935,1766.16327566939,9.229399421296296,29.47777778333333
3290,27,1218.9972223124166,1821.9440356783932,9.196801157407409,26.71555557
3291,28,1064.4374956171134,1852.81336234428,9.256708680555557,17.920000006666665
3292,29,1103.8983756777566,1817.9878645547733,9.24942349537037,27.104444453333333
3293,30,1192.9720489872368,1862.5256601324368,9.16253761574074,42.4888889
3294,31,1383.7937933865367,1855.4761312428566,9.247337847222221,26.435555559999997
3295,32,1109.3783355972434,1853.34602456036,9.112306944444445,38.711111116666665
3296,33,814.8785555950167,1810.6290090044567,9.247649074074074,21.426666669999996
3297,34,1030.0922978888234,1745.7570823381532,9.265511111111111,33.280000009999995
3298,35,1030.32228672479,1808.7336845646632,9.200832986111111,26.071111119999998
3299,36,1314.9720912396765,1738.99301566002,9.212863773148149,30.02222223333333
3300,37,1158.6768000694667,1815.2887934493533,9.238171527777778,31.602222226666665
3301,38,1113.8273311505234,1809.42588900245,9.214858796296296,43.175555556666666
3302,39,1373.3741423350234,1805.7395001271334,9.244143171296296,36.255555566666665
3303,40,1368.25833779662,1785.5056934403867,9.222722800925926,34.48666667333333
3304,41,1325.8936490199367,1799.3331423294233,9.273668171296297,36.10666668
3305,42,923.62508007566,1835.8206645527068,9.203397222222224,28.56888889333333
3306,43,1147.6347022703267,1813.8433312325067,9.308555555555555,36.73555556
3307,44,987.8460067028633,1809.8865934527532,9.180575,31.842222223333334
3308,45,1240.0128645657733,1866.3241956585966,9.156791666666667,31.38666667333333
3309,46,1182.7167512291967,1843.23036233518,9.21333587962963,16.928888896666663
3310,47,1241.3556089483734,1832.6484667607667,9.256755902777778,20.086666673333333
3311,48,1376.8656956766467,1877.2486001202167,9.243213657407408,31.27111112
3312,49,895.0153089262734,1876.2830423412233,9.168361921296297,37.288888899999996
