variable,months_inside_95_interval,n_months,coverage_fraction
frost_days,6,12,0.5
heat_days,9,12,0.75
humidity_pct,1,12,0.08333333333333333
ice_days,7,12,0.5833333333333334
precip_days_ge_10mm,12,12,1.0
precip_days_ge_1mm,12,12,1.0
precip_days_ge_50mm,10,12,0.8333333333333334
precip_days_ge_5mm,12,12,1.0
precipitation_total_mm,12,12,1.0
snow_cover_days,11,12,0.9166666666666666
summer_days,8,12,0.6666666666666666
sunshine_hours,12,12,1.0
sunshine_pct,12,12,1.0
temperature_daily_max_mean_c,3,12,0.25
temperature_daily_min_mean_c,1,12,0.08333333333333333
temperature_mean_c,12,12,1.0
wind_m_s,3,12,0.25
