unique_agent_id,base_seed,persona_index,weekday,weekday_label,activity_type,hours,day_type
base3263_StudentPersona_01,3263,0,0,Mon,downtime,7,weekday
base3263_StudentPersona_01,3263,0,0,Mon,eat,3,weekday
base3263_StudentPersona_01,3263,0,0,Mon,sleep,8,weekday
base3263_StudentPersona_01,3263,0,0,Mon,wake_up,1,weekday
base3263_StudentPersona_01,3263,0,0,Mon,work,5,weekday
base3263_StudentPersona_01,3263,0,1,Tue,downtime,6,weekday
base3263_StudentPersona_01,3263,0,1,Tue,eat,3,weekday
base3263_StudentPersona_01,3263,0,1,Tue,sleep,8,weekday
base3263_StudentPersona_01,3263,0,1,Tue,wake_up,1,weekday
base3263_StudentPersona_01,3263,0,1,Tue,work,6,weekday
base3263_StudentPersona_01,3263,0,2,Wed,downtime,6,weekday
base3263_StudentPersona_01,3263,0,2,Wed,eat,3,weekday
base3263_StudentPersona_01,3263,0,2,Wed,sleep,9,weekday
base3263_StudentPersona_01,3263,0,2,Wed,wake_up,1,weekday
base3263_StudentPersona_01,3263,0,2,Wed,work,5,weekday
base3263_StudentPersona_01,3263,0,3,Thu,downtime,8,weekday
base3263_StudentPersona_01,3263,0,3,Thu,eat,3,weekday
base3263_StudentPersona_01,3263,0,3,Thu,sleep,8,weekday
base3263_StudentPersona_01,3263,0,3,Thu,wake_up,1,weekday
base3263_StudentPersona_01,3263,0,3,Thu,work,4,weekday
base3263_StudentPersona_01,3263,0,4,Fri,downtime,3,weekday
base3263_StudentPersona_01,3263,0,4,Fri,eat,3,weekday
base3263_StudentPersona_01,3263,0,4,Fri,physical_activity,2,weekday
base3263_StudentPersona_01,3263,0,4,Fri,sleep,9,weekday
base3263_StudentPersona_01,3263,0,4,Fri,social_time,3,weekday
base3263_StudentPersona_01,3263,0,4,Fri,wake_up,1,weekday
base3263_StudentPersona_01,3263,0,4,Fri,work,3,weekday
base3263_StudentPersona_01,3263,0,5,Sat,downtime,4,weekend
base3263_StudentPersona_01,3263,0,5,Sat,eat,3,weekend
base3263_StudentPersona_01,3263,0,5,Sat,physical_activity,2,weekend
base3263_StudentPersona_01,3263,0,5,Sat,sleep,11,weekend
base3263_StudentPersona_01,3263,0,5,Sat,social_time,3,weekend
base3263_StudentPersona_01,3263,0,5,Sat,wake_up,1,weekend
base3263_StudentPersona_01,3263,0,6,Sun,downtime,4,weekend
base3263_StudentPersona_01,3263,0,6,Sun,eat,3,weekend
base3263_StudentPersona_01,3263,0,6,Sun,physical_activity,2,weekend
base3263_StudentPersona_01,3263,0,6,Sun,sleep,10,weekend
base3263_StudentPersona_01,3263,0,6,Sun,social_time,4,weekend
base3263_StudentPersona_01,3263,0,6,Sun,wake_up,1,weekend
base3263_StudentPersona_02,3263,1,0,Mon,downtime,7,weekday
base3263_StudentPersona_02,3263,1,0,Mon,eat,3,weekday
base3263_StudentPersona_02,3263,1,0,Mon,sleep,8,weekday
base3263_StudentPersona_02,3263,1,0,Mon,wake_up,1,weekday
base3263_StudentPersona_02,3263,1,0,Mon,work,5,weekday
base3263_StudentPersona_02,3263,1,1,Tue,downtime,7,weekday
base3263_StudentPersona_02,3263,1,1,Tue,eat,3,weekday
base3263_StudentPersona_02,3263,1,1,Tue,sleep,8,weekday
base3263_StudentPersona_02,3263,1,1,Tue,wake_up,1,weekday
base3263_StudentPersona_02,3263,1,1,Tue,work,5,weekday
base3263_StudentPersona_02,3263,1,2,Wed,downtime,6,weekday
base3263_StudentPersona_02,3263,1,2,Wed,eat,3,weekday
base3263_StudentPersona_02,3263,1,2,Wed,sleep,8,weekday
base3263_StudentPersona_02,3263,1,2,Wed,wake_up,1,weekday
base3263_StudentPersona_02,3263,1,2,Wed,work,6,weekday
base3263_StudentPersona_02,3263,1,3,Thu,downtime,8,weekday
base3263_StudentPersona_02,3263,1,3,Thu,eat,3,weekday
base3263_StudentPersona_02,3263,1,3,Thu,sleep,8,weekday
base3263_StudentPersona_02,3263,1,3,Thu,wake_up,1,weekday
base3263_StudentPersona_02,3263,1,3,Thu,work,4,weekday
base3263_StudentPersona_02,3263,1,4,Fri,downtime,3,weekday
base3263_StudentPersona_02,3263,1,4,Fri,eat,3,weekday
base3263_StudentPersona_02,3263,1,4,Fri,physical_activity,2,weekday
base3263_StudentPersona_02,3263,1,4,Fri,sleep,9,weekday
base3263_StudentPersona_02,3263,1,4,Fri,social_time,3,weekday
base3263_StudentPersona_02,3263,1,4,Fri,wake_up,1,weekday
base3263_StudentPersona_02,3263,1,4,Fri,work,3,weekday
base3263_StudentPersona_02,3263,1,5,Sat,downtime,5,weekend
base3263_StudentPersona_02,3263,1,5,Sat,eat,3,weekend
base3263_StudentPersona_02,3263,1,5,Sat,physical_activity,2,weekend
base3263_StudentPersona_02,3263,1,5,Sat,sleep,10,weekend
base3263_StudentPersona_02,3263,1,5,Sat,social_time,3,weekend
base3263_StudentPersona_02,3263,1,5,Sat,wake_up,1,weekend
base3263_StudentPersona_02,3263,1,6,Sun,downtime,4,weekend
base3263_StudentPersona_02,3263,1,6,Sun,eat,3,weekend
base3263_StudentPersona_02,3263,1,6,Sun,physical_activity,2,weekend
base3263_StudentPersona_02,3263,1,6,Sun,sleep,10,weekend
base3263_StudentPersona_02,3263,1,6,Sun,social_time,4,weekend
base3263_StudentPersona_02,3263,1,6,Sun,wake_up,1,weekend
base3263_StudentPersona_03,3263,2,0,Mon,downtime,7,weekday
base3263_StudentPersona_03,3263,2,0,Mon,eat,3,weekday
base3263_StudentPersona_03,3263,2,0,Mon,sleep,8,weekday
base3263_StudentPersona_03,3263,2,0,Mon,wake_up,1,weekday
base3263_StudentPersona_03,3263,2,0,Mon,work,5,weekday
base3263_StudentPersona_03,3263,2,1,Tue,downtime,6,weekday
base3263_StudentPersona_03,3263,2,1,Tue,eat,3,weekday
base3263_StudentPersona_03,3263,2,1,Tue,sleep,8,weekday
base3263_StudentPersona_03,3263,2,1,Tue,wake_up,1,weekday
base3263_StudentPersona_03,3263,2,1,Tue,work,6,weekday
base3263_StudentPersona_03,3263,2,2,Wed,downtime,6,weekday
base3263_StudentPersona_03,3263,2,2,Wed,eat,3,weekday
base3263_StudentPersona_03,3263,2,2,Wed,sleep,9,weekday
base3263_StudentPersona_03,3263,2,2,Wed,wake_up,1,weekday
base3263_StudentPersona_03,3263,2,2,Wed,work,5,weekday
base3263_StudentPersona_03,3263,2,3,Thu,downtime,7,weekday
base3263_StudentPersona_03,3263,2,3,Thu,eat,3,weekday
base3263_StudentPersona_03,3263,2,3,Thu,sleep,9,weekday
base3263_StudentPersona_03,3263,2,3,Thu,wake_up,1,weekday
base3263_StudentPersona_03,3263,2,3,Thu,work,4,weekday
base3263_StudentPersona_03,3263,2,4,Fri,downtime,4,weekday
base3263_StudentPersona_03,3263,2,4,Fri,eat,3,weekday
base3263_StudentPersona_03,3263,2,4,Fri,physical_activity,2,weekday
base3263_StudentPersona_03,3263,2,4,Fri,sleep,8,weekday
base3263_StudentPersona_03,3263,2,4,Fri,social_time,3,weekday
base3263_StudentPersona_03,3263,2,4,Fri,wake_up,1,weekday
base3263_StudentPersona_03,3263,2,4,Fri,work,3,weekday
base3263_StudentPersona_03,3263,2,5,Sat,downtime,3,weekend
base3263_StudentPersona_03,3263,2,5,Sat,eat,3,weekend
base3263_StudentPersona_03,3263,2,5,Sat,physical_activity,2,weekend
base3263_StudentPersona_03,3263,2,5,Sat,sleep,11,weekend
base3263_StudentPersona_03,3263,2,5,Sat,social_time,4,weekend
base3263_StudentPersona_03,3263,2,5,Sat,wake_up,1,weekend
base3263_StudentPersona_03,3263,2,6,Sun,downtime,4,weekend
base3263_StudentPersona_03,3263,2,6,Sun,eat,3,weekend
base3263_StudentPersona_03,3263,2,6,Sun,physical_activity,2,weekend
base3263_StudentPersona_03,3263,2,6,Sun,sleep,11,weekend
base3263_StudentPersona_03,3263,2,6,Sun,social_time,3,weekend
base3263_StudentPersona_03,3263,2,6,Sun,wake_up,1,weekend
base3263_StudentPersona_04,3263,3,0,Mon,downtime,7,weekday
base3263_StudentPersona_04,3263,3,0,Mon,eat,3,weekday
base3263_StudentPersona_04,3263,3,0,Mon,sleep,8,weekday
base3263_StudentPersona_04,3263,3,0,Mon,wake_up,1,weekday
base3263_StudentPersona_04,3263,3,0,Mon,work,5,weekday
base3263_StudentPersona_04,3263,3,1,Tue,downtime,6,weekday
base3263_StudentPersona_04,3263,3,1,Tue,eat,3,weekday
base3263_StudentPersona_04,3263,3,1,Tue,sleep,8,weekday
base3263_StudentPersona_04,3263,3,1,Tue,wake_up,1,weekday
base3263_StudentPersona_04,3263,3,1,Tue,work,6,weekday
base3263_StudentPersona_04,3263,3,2,Wed,downtime,7,weekday
base3263_StudentPersona_04,3263,3,2,Wed,eat,3,weekday
base3263_StudentPersona_04,3263,3,2,Wed,sleep,8,weekday
base3263_StudentPersona_04,3263,3,2,Wed,wake_up,1,weekday
base3263_StudentPersona_04,3263,3,2,Wed,work,5,weekday
base3263_StudentPersona_04,3263,3,3,Thu,downtime,8,weekday
base3263_StudentPersona_04,3263,3,3,Thu,eat,3,weekday
base3263_StudentPersona_04,3263,3,3,Thu,sleep,8,weekday
base3263_StudentPersona_04,3263,3,3,Thu,wake_up,1,weekday
base3263_StudentPersona_04,3263,3,3,Thu,work,4,weekday
base3263_StudentPersona_04,3263,3,4,Fri,downtime,4,weekday
base3263_StudentPersona_04,3263,3,4,Fri,eat,3,weekday
base3263_StudentPersona_04,3263,3,4,Fri,physical_activity,2,weekday
base3263_StudentPersona_04,3263,3,4,Fri,sleep,8,weekday
base3263_StudentPersona_04,3263,3,4,Fri,social_time,3,weekday
base3263_StudentPersona_04,3263,3,4,Fri,wake_up,1,weekday
base3263_StudentPersona_04,3263,3,4,Fri,work,3,weekday
base3263_StudentPersona_04,3263,3,5,Sat,downtime,4,weekend
base3263_StudentPersona_04,3263,3,5,Sat,eat,3,weekend
base3263_StudentPersona_04,3263,3,5,Sat,physical_activity,2,weekend
