unique_agent_id,base_seed,persona_index,activity_type,hours
base3263_StudentPersona_01,3263,0,downtime,38
base3263_StudentPersona_01,3263,0,eat,21
base3263_StudentPersona_01,3263,0,physical_activity,6
base3263_StudentPersona_01,3263,0,sleep,63
base3263_StudentPersona_01,3263,0,social_time,10
base3263_StudentPersona_01,3263,0,wake_up,7
base3263_StudentPersona_01,3263,0,work,23
base3263_StudentPersona_02,3263,1,downtime,40
base3263_StudentPersona_02,3263,1,eat,21
base3263_StudentPersona_02,3263,1,physical_activity,6
base3263_StudentPersona_02,3263,1,sleep,61
base3263_StudentPersona_02,3263,1,social_time,10
base3263_StudentPersona_02,3263,1,wake_up,7
base3263_StudentPersona_02,3263,1,work,23
base3263_StudentPersona_03,3263,2,downtime,37
base3263_StudentPersona_03,3263,2,eat,21
base3263_StudentPersona_03,3263,2,physical_activity,6
base3263_StudentPersona_03,3263,2,sleep,64
base3263_StudentPersona_03,3263,2,social_time,10
base3263_StudentPersona_03,3263,2,wake_up,7
base3263_StudentPersona_03,3263,2,work,23
base3263_StudentPersona_04,3263,3,downtime,40
base3263_StudentPersona_04,3263,3,eat,21
base3263_StudentPersona_04,3263,3,physical_activity,6
base3263_StudentPersona_04,3263,3,sleep,61
base3263_StudentPersona_04,3263,3,social_time,10
base3263_StudentPersona_04,3263,3,wake_up,7
base3263_StudentPersona_04,3263,3,work,23
base3263_StudentPersona_05,3263,4,downtime,38
base3263_StudentPersona_05,3263,4,eat,21
base3263_StudentPersona_05,3263,4,physical_activity,6
base3263_StudentPersona_05,3263,4,sleep,64
base3263_StudentPersona_05,3263,4,social_time,10
base3263_StudentPersona_05,3263,4,wake_up,7
base3263_StudentPersona_05,3263,4,work,22
base3263_StudentPersona_06,3263,5,downtime,38
base3263_StudentPersona_06,3263,5,eat,21
base3263_StudentPersona_06,3263,5,physical_activity,6
base3263_StudentPersona_06,3263,5,sleep,63
base3263_StudentPersona_06,3263,5,social_time,10
base3263_StudentPersona_06,3263,5,wake_up,7
base3263_StudentPersona_06,3263,5,work,23
base3263_StudentPersona_07,3263,6,downtime,36
base3263_StudentPersona_07,3263,6,eat,21
base3263_StudentPersona_07,3263,6,physical_activity,6
base3263_StudentPersona_07,3263,6,sleep,65
base3263_StudentPersona_07,3263,6,social_time,10
base3263_StudentPersona_07,3263,6,wake_up,7
base3263_StudentPersona_07,3263,6,work,23
base3263_StudentPersona_08,3263,7,downtime,38
base3263_StudentPersona_08,3263,7,eat,21
base3263_StudentPersona_08,3263,7,physical_activity,6
base3263_StudentPersona_08,3263,7,sleep,64
base3263_StudentPersona_08,3263,7,social_time,10
base3263_StudentPersona_08,3263,7,wake_up,7
base3263_StudentPersona_08,3263,7,work,22
base3263_StudentPersona_09,3263,8,downtime,39
base3263_StudentPersona_09,3263,8,eat,21
base3263_StudentPersona_09,3263,8,physical_activity,6
base3263_StudentPersona_09,3263,8,sleep,62
base3263_StudentPersona_09,3263,8,social_time,10
base3263_StudentPersona_09,3263,8,wake_up,7
base3263_StudentPersona_09,3263,8,work,23
base3263_StudentPersona_10,3263,9,downtime,41
base3263_StudentPersona_10,3263,9,eat,21
base3263_StudentPersona_10,3263,9,physical_activity,6
base3263_StudentPersona_10,3263,9,sleep,60
base3263_StudentPersona_10,3263,9,social_time,10
base3263_StudentPersona_10,3263,9,wake_up,7
base3263_StudentPersona_10,3263,9,work,23
base3264_StudentPersona_01,3264,0,downtime,37
base3264_StudentPersona_01,3264,0,eat,21
base3264_StudentPersona_01,3264,0,physical_activity,6
base3264_StudentPersona_01,3264,0,sleep,64
base3264_StudentPersona_01,3264,0,social_time,10
base3264_StudentPersona_01,3264,0,wake_up,7
base3264_StudentPersona_01,3264,0,work,23
base3264_StudentPersona_02,3264,1,downtime,38
base3264_StudentPersona_02,3264,1,eat,21
base3264_StudentPersona_02,3264,1,physical_activity,6
base3264_StudentPersona_02,3264,1,sleep,63
base3264_StudentPersona_02,3264,1,social_time,10
base3264_StudentPersona_02,3264,1,wake_up,7
base3264_StudentPersona_02,3264,1,work,23
base3264_StudentPersona_03,3264,2,downtime,39
