unique_agent_id,base_seed,persona_index,persona_id,persona_seed,psychological_seed,automaticity,pa_specific_self_control,action_planning,intention,perceived_behavioral_control,attitude_toward_the_behavior,subjective_norm,intrinsic_motivation,motivational_competence
base3263_StudentPersona_01,3263,0,StudentPersona_01,1579263773,1589263792,0.298,0.45,0.185,0.243,0.889,0.49,0.811,0.492,0.666
base3263_StudentPersona_02,3263,1,StudentPersona_02,1134317043,1144317062,0.431,0.486,0.184,0.513,0.577,0.893,0.347,0.86,0.786
base3263_StudentPersona_03,3263,2,StudentPersona_03,1066877293,1076877312,0.25,0.183,0.037,0.285,0.188,0.536,0.509,0.528,0.708
base3263_StudentPersona_04,3263,3,StudentPersona_04,1975515192,1985515211,0.146,0.369,0.419,0.698,0.566,0.902,0.536,0.707,1.0
base3263_StudentPersona_05,3263,4,StudentPersona_05,430405768,440405787,0.17,0.393,0.0,0.651,0.467,0.766,0.744,0.794,0.988
base3263_StudentPersona_06,3263,5,StudentPersona_06,1455089662,1465089681,0.078,0.477,0.158,0.248,0.472,0.836,0.586,0.684,0.724
base3263_StudentPersona_07,3263,6,StudentPersona_07,714534848,724534867,0.418,0.447,0.645,0.405,0.46,0.728,0.715,0.793,1.0
base3263_StudentPersona_08,3263,7,StudentPersona_08,443081241,453081260,0.554,0.599,0.087,0.449,0.436,0.496,0.419,0.747,0.88
base3263_StudentPersona_09,3263,8,StudentPersona_09,958225478,968225497,0.39,0.387,0.492,0.87,0.601,0.766,0.501,0.734,0.951
base3263_StudentPersona_10,3263,9,StudentPersona_10,502640843,512640862,0.512,0.752,0.532,0.596,0.877,0.644,0.783,0.717,0.749
base3264_StudentPersona_01,3264,0,StudentPersona_01,545805866,555805885,0.439,0.48,0.306,0.366,0.696,0.246,0.208,0.847,1.0
base3264_StudentPersona_02,3264,1,StudentPersona_02,773280006,783280025,0.512,0.513,0.112,0.361,0.687,0.366,0.494,0.711,0.944
base3264_StudentPersona_03,3264,2,StudentPersona_03,139210164,149210183,0.723,0.568,0.288,0.729,0.623,0.501,0.655,0.574,0.856
base3264_StudentPersona_04,3264,3,StudentPersona_04,1667004661,1677004680,0.508,0.45,0.769,0.613,0.872,0.651,0.604,0.676,1.0
base3264_StudentPersona_05,3264,4,StudentPersona_05,1914608378,1924608397,0.55,0.331,0.0,0.021,0.659,0.305,0.668,0.592,0.787
base3264_StudentPersona_06,3264,5,StudentPersona_06,1869477727,1879477746,0.03,0.291,0.484,0.356,0.731,0.51,0.306,0.764,0.691
base3264_StudentPersona_07,3264,6,StudentPersona_07,1739686541,1749686560,0.174,0.349,0.0,0.396,0.913,0.463,0.285,0.616,0.768
base3264_StudentPersona_08,3264,7,StudentPersona_08,1414626609,1424626628,0.268,0.406,0.368,0.727,0.75,0.206,0.48,0.678,1.0
base3264_StudentPersona_09,3264,8,StudentPersona_09,802803354,812803373,0.399,0.314,0.219,0.503,0.455,0.435,0.459,0.597,0.816
base3264_StudentPersona_10,3264,9,StudentPersona_10,14514998,24515017,0.302,0.734,0.644,0.551,0.425,0.847,0.417,0.743,0.654
base3265_StudentPersona_01,3265,0,StudentPersona_01,2110432427,2120432446,0.466,0.785,0.398,0.526,0.367,0.447,0.424,0.78,0.641
base3265_StudentPersona_02,3265,1,StudentPersona_02,439178038,449178057,0.186,0.237,0.325,0.519,0.544,0.725,0.537,0.661,0.795
base3265_StudentPersona_03,3265,2,StudentPersona_03,92540058,102540077,0.146,0.286,0.431,0.746,0.361,0.667,0.629,0.688,0.788
base3265_StudentPersona_04,3265,3,StudentPersona_04,560693371,570693390,0.0,0.699,0.529,0.771,0.703,0.906,0.483,0.644,0.676
base3265_StudentPersona_05,3265,4,StudentPersona_05,1838516166,1848516185,0.042,0.423,0.525,0.828,0.633,0.717,0.671,0.765,1.0
base3265_StudentPersona_06,3265,5,StudentPersona_06,1553179603,1563179622,0.602,0.52,0.097,0.613,0.606,0.568,0.618,0.601,0.826
base3265_StudentPersona_07,3265,6,StudentPersona_07,1473549308,1483549327,0.3,0.541,0.0,0.559,0.858,1.0,0.413,0.803,0.767
base3265_StudentPersona_08,3265,7,StudentPersona_08,181464894,191464913,0.662,0.825,0.872,0.717,0.881,0.625,0.665,0.727,0.712
base3265_StudentPersona_09,3265,8,StudentPersona_09,152290022,162290041,0.604,0.569,0.248,0.834,0.779,0.689,0.394,0.767,0.81
base3265_StudentPersona_10,3265,9,StudentPersona_10,2006095565,2016095584,0.407,0.343,0.0,0.454,0.761,0.47,0.543,0.86,0.965
base3266_StudentPersona_01,3266,0,StudentPersona_01,1625147340,1635147359,0.705,0.801,0.068,0.659,0.56,0.804,0.86,0.785,0.713
base3266_StudentPersona_02,3266,1,StudentPersona_02,1059029909,1069029928,0.433,0.923,0.366,0.57,0.635,0.599,0.439,0.818,0.824
base3266_StudentPersona_03,3266,2,StudentPersona_03,152901213,162901232,0.377,0.582,0.282,0.827,0.689,0.74,0.607,0.729,0.843
base3266_StudentPersona_04,3266,3,StudentPersona_04,629163497,639163516,0.0,0.587,0.116,0.469,0.513,0.758,0.719,0.535,0.556
base3266_StudentPersona_05,3266,4,StudentPersona_05,381809336,391809355,0.336,0.353,0.0,0.259,0.528,0.6,0.276,0.705,0.753
base3266_StudentPersona_06,3266,5,StudentPersona_06,1669156266,1679156285,0.574,0.761,0.959,0.979,0.883,0.957,0.527,0.797,0.805
base3266_StudentPersona_07,3266,6,StudentPersona_07,1803240188,1813240207,0.627,0.51,0.598,0.84,0.517,0.724,0.742,0.757,0.927
base3266_StudentPersona_08,3266,7,StudentPersona_08,847636132,857636151,0.275,0.417,0.166,0.405,0.491,0.592,0.0,0.589,0.474
base3266_StudentPersona_09,3266,8,StudentPersona_09,1085785489,1095785508,0.419,0.32,0.489,0.684,0.652,0.838,0.567,0.771,0.876
base3266_StudentPersona_10,3266,9,StudentPersona_10,561615360,571615379,0.299,0.98,0.204,0.865,0.72,1.0,0.545,0.816,0.87
base3267_StudentPersona_01,3267,0,StudentPersona_01,1034543368,1044543387,0.262,0.443,0.523,0.886,0.707,0.819,0.533,0.749,0.837
base3267_StudentPersona_02,3267,1,StudentPersona_02,504145816,514145835,0.898,0.97,0.253,0.632,0.478,0.706,0.346,0.654,0.808
base3267_StudentPersona_03,3267,2,StudentPersona_03,399812254,409812273,0.158,0.794,0.536,0.932,0.578,0.6,0.33,0.807,0.82
base3267_StudentPersona_04,3267,3,StudentPersona_04,1853825686,1863825705,0.29,0.671,0.168,0.61,0.442,0.637,0.455,0.759,0.871
base3267_StudentPersona_05,3267,4,StudentPersona_05,1434490516,1444490535,0.206,0.528,0.246,0.601,0.379,0.403,0.132,0.684,0.884
base3267_StudentPersona_06,3267,5,StudentPersona_06,1121228459,1131228478,0.101,0.388,0.082,0.731,0.811,1.0,0.55,0.718,0.69
base3267_StudentPersona_07,3267,6,StudentPersona_07,1922298577,1932298596,0.396,0.331,0.127,0.182,0.698,0.614,0.36,0.743,0.934
base3267_StudentPersona_08,3267,7,StudentPersona_08,1395191569,1405191588,0.069,0.314,0.58,0.679,0.488,0.55,0.367,0.719,0.83
base3267_StudentPersona_09,3267,8,StudentPersona_09,1701352486,1711352505,0.23,0.939,0.802,1.0,0.589,0.996,0.732,0.648,0.806
base3267_StudentPersona_10,3267,9,StudentPersona_10,1791093980,1801093999,0.308,0.396,0.359,0.775,0.863,0.463,0.371,0.751,0.795
base3268_StudentPersona_01,3268,0,StudentPersona_01,1079347465,1089347484,0.507,0.468,0.824,0.694,0.88,0.938,0.532,0.694,0.666
base3268_StudentPersona_02,3268,1,StudentPersona_02,473962097,483962116,0.952,0.832,0.848,0.81,1.0,1.0,0.932,0.814,0.959
base3268_StudentPersona_03,3268,2,StudentPersona_03,1724503342,1734503361,0.367,0.666,0.174,0.595,0.657,0.787,0.444,0.672,0.575
base3268_StudentPersona_04,3268,3,StudentPersona_04,1833295924,1843295943,0.517,0.537,0.162,0.558,0.954,0.995,0.905,0.669,0.666
base3268_StudentPersona_05,3268,4,StudentPersona_05,988641306,998641325,0.232,0.242,0.0,0.662,0.562,0.586,0.217,0.711,1.0
base3268_StudentPersona_06,3268,5,StudentPersona_06,1577307252,1587307271,0.195,0.22,0.693,0.562,0.554,0.93,0.758,0.747,0.905
base3268_StudentPersona_07,3268,6,StudentPersona_07,107207675,117207694,0.656,0.629,0.398,0.495,0.629,0.825,0.714,0.53,0.621
base3268_StudentPersona_08,3268,7,StudentPersona_08,789154123,799154142,0.0,0.808,0.148,0.665,0.243,0.502,0.316,0.729,0.847
base3268_StudentPersona_09,3268,8,StudentPersona_09,294628218,304628237,0.469,0.348,0.286,0.371,0.73,0.515,0.394,0.621,0.857
base3268_StudentPersona_10,3268,9,StudentPersona_10,41062505,51062524,0.214,0.532,0.662,0.754,0.868,0.495,0.675,0.766,0.976
base3269_StudentPersona_01,3269,0,StudentPersona_01,1115510384,1125510403,0.611,0.885,0.623,0.807,0.771,0.98,0.795,0.784,0.843
base3269_StudentPersona_02,3269,1,StudentPersona_02,71388959,81388978,0.0,0.756,0.273,0.631,0.833,0.877,0.377,0.765,0.807
base3269_StudentPersona_03,3269,2,StudentPersona_03,155918326,165918345,0.431,0.546,0.544,0.803,0.502,0.28,0.53,0.702,0.854
base3269_StudentPersona_04,3269,3,StudentPersona_04,1786115678,1796115697,1.0,0.617,0.092,0.64,0.81,0.724,0.175,0.689,0.906
base3269_StudentPersona_05,3269,4,StudentPersona_05,877888650,887888669,0.052,0.628,0.292,0.806,0.769,0.721,0.481,0.659,0.954
base3269_StudentPersona_06,3269,5,StudentPersona_06,186386561,196386580,0.462,0.55,0.18,0.453,0.523,0.426,0.313,0.822,1.0
base3269_StudentPersona_07,3269,6,StudentPersona_07,1522646261,1532646280,0.045,0.255,0.244,0.28,0.803,0.575,0.369,0.615,0.713
base3269_StudentPersona_08,3269,7,StudentPersona_08,1720674048,1730674067,0.38,0.665,0.304,0.639,0.685,0.829,0.524,0.749,0.573
base3269_StudentPersona_09,3269,8,StudentPersona_09,69934870,79934889,0.449,0.583,0.825,0.905,0.614,1.0,0.695,0.768,0.829
base3269_StudentPersona_10,3269,9,StudentPersona_10,2018615332,2028615351,0.747,0.347,0.645,0.532,0.744,0.857,0.593,0.559,0.928
base3270_StudentPersona_01,3270,0,StudentPersona_01,1463283039,1473283058,0.348,0.43,1.0,0.818,0.489,0.69,0.462,0.83,1.0
base3270_StudentPersona_02,3270,1,StudentPersona_02,1326558579,1336558598,0.696,0.935,0.65,0.55,0.557,0.711,0.244,0.829,0.712
base3270_StudentPersona_03,3270,2,StudentPersona_03,825014276,835014295,0.379,0.708,0.817,0.689,0.902,0.737,0.591,0.797,0.88
base3270_StudentPersona_04,3270,3,StudentPersona_04,170758519,180758538,0.439,0.756,0.101,0.524,0.627,0.542,0.519,0.697,0.898
base3270_StudentPersona_05,3270,4,StudentPersona_05,769402122,779402141,0.092,0.511,0.064,0.616,0.544,0.971,0.593,0.676,0.733
base3270_StudentPersona_06,3270,5,StudentPersona_06,1514427876,1524427895,0.043,0.553,0.386,0.522,0.588,1.0,0.423,0.63,0.702
base3270_StudentPersona_07,3270,6,StudentPersona_07,236817129,246817148,0.379,0.301,0.064,0.376,0.421,0.784,0.445,0.706,0.918
base3270_StudentPersona_08,3270,7,StudentPersona_08,975500087,985500106,0.892,0.54,0.68,0.632,0.696,0.318,0.209,0.8,0.795
base3270_StudentPersona_09,3270,8,StudentPersona_09,21196763,31196782,0.359,0.531,0.053,0.875,0.495,0.782,0.426,0.802,0.856
base3270_StudentPersona_10,3270,9,StudentPersona_10,1168295627,1178295646,0.395,0.924,0.367,0.964,0.682,0.902,0.8,0.669,0.742
base3271_StudentPersona_01,3271,0,StudentPersona_01,2074709713,2084709732,0.235,0.494,0.112,0.668,0.826,0.855,0.404,0.757,0.774
base3271_StudentPersona_02,3271,1,StudentPersona_02,1199434490,1209434509,0.638,0.471,0.159,0.359,0.632,0.589,0.265,0.759,0.968
base3271_StudentPersona_03,3271,2,StudentPersona_03,728491432,738491451,0.434,0.504,0.488,0.638,0.298,0.656,0.394,0.745,0.846
base3271_StudentPersona_04,3271,3,StudentPersona_04,1863752066,1873752085,0.388,0.547,0.282,0.726,0.588,0.585,0.45,0.756,0.783
base3271_StudentPersona_05,3271,4,StudentPersona_05,940239913,950239932,0.139,0.399,0.79,1.0,0.676,0.872,0.497,0.684,0.944
base3271_StudentPersona_06,3271,5,StudentPersona_06,1798376175,1808376194,0.341,0.58,0.0,0.606,0.081,0.888,0.413,0.606,0.879
base3271_StudentPersona_07,3271,6,StudentPersona_07,908746232,918746251,0.512,0.236,0.803,0.684,0.842,0.758,0.696,0.835,0.917
base3271_StudentPersona_08,3271,7,StudentPersona_08,667670450,677670469,0.798,0.708,0.271,0.744,0.825,1.0,0.859,0.534,0.761
base3271_StudentPersona_09,3271,8,StudentPersona_09,193046627,203046646,0.732,1.0,0.275,0.563,0.556,0.754,0.731,0.756,0.743
base3271_StudentPersona_10,3271,9,StudentPersona_10,1262403839,1272403858,0.29,0.336,0.147,0.803,0.729,0.768,0.259,0.658,0.958
base3272_StudentPersona_01,3272,0,StudentPersona_01,1687386696,1697386715,0.4,0.329,0.638,0.293,0.767,0.708,0.53,0.547,0.793
base3272_StudentPersona_02,3272,1,StudentPersona_02,752222509,762222528,0.18,0.431,1.0,0.743,0.795,0.591,0.457,0.696,0.995
base3272_StudentPersona_03,3272,2,StudentPersona_03,867667075,877667094,0.0,0.333,0.103,0.602,0.743,0.734,0.674,0.719,0.905
base3272_StudentPersona_04,3272,3,StudentPersona_04,2105336798,2115336817,0.166,0.413,0.202,0.707,0.471,0.369,0.169,0.646,0.683
base3272_StudentPersona_05,3272,4,StudentPersona_05,1431401231,1441401250,0.166,0.527,0.0,0.384,0.565,0.65,0.516,0.804,0.824
base3272_StudentPersona_06,3272,5,StudentPersona_06,1282102996,1292103015,0.179,0.309,0.128,0.773,0.541,0.668,0.401,0.715,0.821
base3272_StudentPersona_07,3272,6,StudentPersona_07,552630657,562630676,0.298,0.579,0.916,0.669,0.854,0.931,0.603,0.812,0.636
base3272_StudentPersona_08,3272,7,StudentPersona_08,92024701,102024720,0.515,0.518,0.336,0.471,0.723,0.818,0.661,0.643,0.841
base3272_StudentPersona_09,3272,8,StudentPersona_09,210639993,220640012,0.479,0.308,0.49,0.686,0.952,0.769,0.329,0.777,0.83
base3272_StudentPersona_10,3272,9,StudentPersona_10,892243414,902243433,0.658,0.374,0.991,0.962,0.824,0.644,0.601,0.687,1.0
