base_seed,construct,n_agents,mean,population_sd,minimum,maximum
3263,automaticity,10,0.3247,0.15328016831932303,0.078,0.554
3264,automaticity,10,0.3905,0.19148381132617975,0.03,0.723
3265,automaticity,10,0.34149999999999997,0.2301570116246733,0.0,0.662
3266,automaticity,10,0.40449999999999997,0.19144934055775695,0.0,0.705
3267,automaticity,10,0.2918,0.22240000000000001,0.069,0.898
3268,automaticity,10,0.4109,0.25785362126601985,0.0,0.952
3269,automaticity,10,0.4177,0.3060281196230176,0.0,1.0
3270,automaticity,10,0.4022,0.23638054065425945,0.043,0.892
3271,automaticity,10,0.4507,0.2059946843974378,0.139,0.798
3272,automaticity,10,0.3041,0.1926704180718981,0.0,0.658
3263,pa_specific_self_control,10,0.4543,0.14153518997055115,0.183,0.752
3264,pa_specific_self_control,10,0.4436,0.1300439925563653,0.291,0.734
3265,pa_specific_self_control,10,0.5228,0.19329707706015628,0.237,0.825
3266,pa_specific_self_control,10,0.6234,0.22160018050534167,0.32,0.98
3267,pa_specific_self_control,10,0.5774,0.23663059819051296,0.314,0.97
3268,pa_specific_self_control,10,0.5282,0.20317913278680957,0.22,0.832
3269,pa_specific_self_control,10,0.5832,0.17227176205054617,0.255,0.885
3270,pa_specific_self_control,10,0.6189,0.19657591408918845,0.301,0.935
3271,pa_specific_self_control,10,0.5275,0.2004985037350653,0.236,1.0
3272,pa_specific_self_control,10,0.4121,0.09418646399562942,0.308,0.579
3263,action_planning,10,0.2739,0.21643587965030198,0.0,0.645
3264,action_planning,10,0.319,0.24397786784870468,0.0,0.769
3265,action_planning,10,0.3425,0.25758309338929836,0.0,0.872
3266,action_planning,10,0.3248,0.27607745290044966,0.0,0.959
3267,action_planning,10,0.3676,0.2221743459538027,0.082,0.802
3268,action_planning,10,0.4195,0.2958706643112831,0.0,0.848
3269,action_planning,10,0.4022,0.227084918037284,0.092,0.825
3270,action_planning,10,0.4182,0.3329209515785992,0.053,1.0
3271,action_planning,10,0.3327,0.26233263235823334,0.0,0.803
3272,action_planning,10,0.4804,0.3662147457435323,0.0,1.0
3263,intention,10,0.4958,0.19887624292509148,0.243,0.87
3264,intention,10,0.4623,0.20084971994005865,0.021,0.729
3265,intention,10,0.6567,0.13192425857286444,0.454,0.834
3266,intention,10,0.6557,0.21791606182197767,0.259,0.979
3267,intention,10,0.7028,0.21822410499300943,0.182,1.0
3268,intention,10,0.6166,0.12192801154779816,0.371,0.81
3269,intention,10,0.6496000000000001,0.18100618773953558,0.28,0.905
3270,intention,10,0.6566,0.17243735094230597,0.376,0.964
3271,intention,10,0.6791,0.15743662216904936,0.359,1.0
3272,intention,10,0.629,0.18819351742289106,0.293,0.962
3263,perceived_behavioral_control,10,0.5533,0.19759557181273066,0.188,0.889
