"variant","description","variables","categorical_variables","require_phase_compatibility"
"primary","Primary: occupation + weekly structure + MVPA","occupational_status; workload_hours_per_week; holiday_weeks; stress_weeks; care_work_hours_per_week; social_hours_per_week; pa_mvpa_hours_per_week","occupational_status",FALSE
"omit_pa","Occupation + weekly structure, without PA","occupational_status; workload_hours_per_week; holiday_weeks; stress_weeks; care_work_hours_per_week; social_hours_per_week","occupational_status",FALSE
"total_pa","Total PA instead of MVPA","occupational_status; workload_hours_per_week; holiday_weeks; stress_weeks; care_work_hours_per_week; social_hours_per_week; pa_total_hours_per_week","occupational_status",FALSE
"omit_occupation","Weekly structure + MVPA, without occupation","workload_hours_per_week; holiday_weeks; stress_weeks; care_work_hours_per_week; social_hours_per_week; pa_mvpa_hours_per_week","",FALSE
"add_daily_routine","Primary + typical daily routine","occupational_status; workload_hours_per_week; holiday_weeks; stress_weeks; care_work_hours_per_week; social_hours_per_week; pa_mvpa_hours_per_week; wake_time_minutes; work_start_time_minutes; work_end_time_minutes; break_duration_minutes; leisure_duration_minutes; bed_time_minutes","occupational_status",FALSE
"add_poi","Primary + work and PA distances","occupational_status; workload_hours_per_week; holiday_weeks; stress_weeks; care_work_hours_per_week; social_hours_per_week; pa_mvpa_hours_per_week; workplace_distance_km; indoor_activity_distance_km; outdoor_activity_distance_km","occupational_status",FALSE
"add_residential_context","Primary + residential context","occupational_status; workload_hours_per_week; holiday_weeks; stress_weeks; care_work_hours_per_week; social_hours_per_week; pa_mvpa_hours_per_week; residence_size_ordinal; residential_sealing; residential_nature_access; residential_active_routes","occupational_status",FALSE
"add_sociodemographics","Primary + age, income and household","occupational_status; workload_hours_per_week; holiday_weeks; stress_weeks; care_work_hours_per_week; social_hours_per_week; pa_mvpa_hours_per_week; age_years; income_ordinal; household_size; household_minors","occupational_status",FALSE
"add_routine_and_poi","Primary + daily routine + distances","occupational_status; workload_hours_per_week; holiday_weeks; stress_weeks; care_work_hours_per_week; social_hours_per_week; pa_mvpa_hours_per_week; wake_time_minutes; work_start_time_minutes; work_end_time_minutes; break_duration_minutes; leisure_duration_minutes; bed_time_minutes; workplace_distance_km; indoor_activity_distance_km; outdoor_activity_distance_km","occupational_status",FALSE
"full_context","Primary + routine + POI + residence + sociodemographics","occupational_status; workload_hours_per_week; holiday_weeks; stress_weeks; care_work_hours_per_week; social_hours_per_week; pa_mvpa_hours_per_week; wake_time_minutes; work_start_time_minutes; work_end_time_minutes; break_duration_minutes; leisure_duration_minutes; bed_time_minutes; workplace_distance_km; indoor_activity_distance_km; outdoor_activity_distance_km; residence_size_ordinal; residential_sealing; residential_nature_access; residential_active_routes; age_years; income_ordinal; household_size; household_minors","occupational_status",FALSE
"phase_compatible","Primary restricted to holiday + stress <= 52 weeks","occupational_status; workload_hours_per_week; holiday_weeks; stress_weeks; care_work_hours_per_week; social_hours_per_week; pa_mvpa_hours_per_week","occupational_status",TRUE
