"participant_id","time_point","consent","attention_check_flag","occupational_status","occupational_status_other","automaticity","pa_specific_self_control","action_planning","intention","perceived_behavioral_control","attitude","subjective_norm","intrinsic_motivation","motivational_competence","workload_hours_per_week","holiday_weeks","stress_weeks","care_work_hours_per_week","social_hours_per_week","pa_mvpa_hours_per_week","pa_total_hours_per_week","wake_time_minutes","work_start_time_minutes","work_end_time_minutes","bed_time_minutes","break_duration_minutes","leisure_duration_minutes","workplace_distance_km","indoor_activity_distance_km","outdoor_activity_distance_km","residential_sealing","residential_nature_access","residential_active_routes","residence_size_ordinal","age_years","income_ordinal","household_size","household_minors","normal_weeks_raw","phase_weeks_compatible"
"679",1,"Ja",0,"Angestellt",,0.75,0.333333333333333,0.45,0.833333333333333,0.958333333333333,0.933333333333333,0.527777777777778,0.916666666666667,0.875,32,5,10,5,10,2,6.5,300,495,1020,1290,75,270,20,10,8,5,3,1,1,33.7748208382102,9,2,0,37,TRUE
"1119",1,"Ja",0,"Angestellt",,0,0.583333333333333,0.15,0.444444444444444,0.416666666666667,0.7,0.25,0.25,0.75,40,6,16,14,25,0,0.333333333333333,420,480,1020,1425,60,120,0,20,1,3,2,1,5,36.7071192426949,10,3,1,30,TRUE
"1353",1,"Ja",0,"Angestellt",,0.166666666666667,0.333333333333333,0.3,0.5,0.791666666666667,0.466666666666667,0.638888888888889,0.666666666666667,0.625,40,5,10,0,13,0.75,2.08333333333333,300,400,990,1320,60,180,7,8,0,4,2,3,1,34.9986652703341,10,2,0,37,TRUE
"1584",1,"Ja",0,"Angestellt",,0.166666666666667,0.25,0.4,0.722222222222222,0.833333333333333,0.766666666666667,0.694444444444445,0.666666666666667,0.8125,21.6,6,20,80,60,4.16666666666667,6.16666666666667,450,480,780,1380,60,480,0,3,0.3,4,1,1,2,56.0832871311526,4,2,0,26,TRUE
"4511",1,"Ja",0,"Angestellt",,0,0.333333333333333,0.2,0.0555555555555555,0.541666666666667,0.7,0.305555555555556,0.333333333333333,0.5625,25.2,6,10,15,15,0.416666666666667,2.66666666666667,360,480,780,1380,90,90,12,6,1.5,3,2,1,2,58.0901729672752,4,1,0,36,TRUE
"4847",1,"Ja",0,"Angestellt",,1,0.25,0.6,0.666666666666667,0.791666666666667,0.666666666666667,0.388888888888889,0.5,0.5,32,5,40,0,2,0.25,1.41666666666667,400,465,1035,1380,60,210,2,1,0.5,2,3,2,3,37.9884597219655,9,10,0,7,TRUE
"5220",1,"Ja",0,"Angestellt",,0.5,1,0.9,1,0.666666666666667,0.933333333333333,0.555555555555555,0.666666666666667,0.8125,16,5,12,132,53,3.91666666666667,5.16666666666667,400,492,1040,1380,60,120,23,8,1,5,1,1,2,32.0773184938774,2,4,2,35,TRUE
"5314",1,"Ja",0,"Angestellt",,0.291666666666667,0.5,0,0.0555555555555555,0.291666666666667,0.3,0.5,0.0833333333333333,0.125,32,5,52,72,24,0,0.333333333333333,390,450,1035,1260,45,0,25,,2,3,3,3,2,41.0494397557787,10,4,2,-5,FALSE
"5360",1,"Ja",0,"Angestellt",,0.0833333333333333,0.75,0.15,0.333333333333333,0.666666666666667,0.6,0.888888888888889,0.25,0.625,12,6,8,0,6,0,0.666666666666667,420,540,900,1380,30,540,0,4,1,4,1,1,1,32.4250326837649,3,3,0,38,TRUE
"5747",1,"Ja",0,"Sonstiges","Krank geschrieben",0.291666666666667,0.333333333333333,0.5,0.555555555555555,0.541666666666667,0.6,0.472222222222222,0.5,0.625,0,0,50,30,50,1.5,3,315,420,1140,1350,330,180,0,10,4,2,4,2,3,56.8608527211373,6,2,0,2,TRUE
