"cluster","n","variable","mean","median","sd","minimum","maximum"
1,49,"workload_hours_per_week",36.3836734693878,40,7.74896086955039,6,40
1,49,"holiday_weeks",12.469387755102,10,9.39215550520825,2,52
1,49,"stress_weeks",14.9591836734694,10,11.050941105613,0,42
1,49,"care_work_hours_per_week",3.79591836734694,0,12.3000331839605,0,84
1,49,"social_hours_per_week",29.6122448979592,20,29.0242831712592,2,120
1,49,"pa_mvpa_hours_per_week",3.33503401360544,2,5.27881449419249,0,32.6666666666667
2,16,"workload_hours_per_week",34,40,13.856406460551,0,40
2,16,"holiday_weeks",14.625,5.5,18.8463082149617,2,52
2,16,"stress_weeks",10.4375,9,8.58656896942351,0,30
2,16,"care_work_hours_per_week",4.5,3,4.85798312059645,0,15
2,16,"social_hours_per_week",17.6875,14,12.4938318114713,1,40
2,16,"pa_mvpa_hours_per_week",1.69791666666667,1.54166666666667,1.79579627443072,0,7.5
3,67,"workload_hours_per_week",34.8059701492537,40,7.46823334342351,12,40
3,67,"holiday_weeks",6.05970149253731,5,3.35694935923262,1,28
3,67,"stress_weeks",18.9402985074627,16,13.2171612468296,0,52
3,67,"care_work_hours_per_week",13.089552238806,3,23.7517025503204,0,132
3,67,"social_hours_per_week",18.6865671641791,10,19.2725341976794,1,90
3,67,"pa_mvpa_hours_per_week",2.53731343283582,1.5,3.51892680680514,0,24
4,12,"workload_hours_per_week",3.03333333333333,0,6.16254571560891,0,20
4,12,"holiday_weeks",11.0833333333333,4,19.2280965508731,0,52
4,12,"stress_weeks",29.25,30,16.9979945341154,0,50
4,12,"care_work_hours_per_week",12.5833333333333,3.5,15.8312598323313,0,42
4,12,"social_hours_per_week",15.2916666666667,7,20.4255391976602,0.5,64
4,12,"pa_mvpa_hours_per_week",1.8125,1.625,2.24568188335127,0,7.83333333333333
