"cluster","occupational_status","n","within_cluster_proportion"
"3","Angestellt",60,0.895522388059702
"1","Arbeitslos",1,0.0204081632653061
"4","Arbeitslos",7,0.583333333333333
"1","Ausbildung/Lehre",1,0.0204081632653061
"3","Ausbildung/Lehre",3,0.0447761194029851
"1","Selbständig",1,0.0204081632653061
"2","Selbständig",1,0.0625
"3","Selbständig",4,0.0597014925373134
"2","Sonstiges",15,0.9375
"4","Sonstiges",4,0.333333333333333
"1","Studium",46,0.938775510204082
"4","Studium",1,0.0833333333333333
