"cluster","participant_id","variable","value","within_cluster_percentile","used_in_primary_clustering","outer_five_percent"
1,"7067","automaticity",0.375,0.663265306122449,FALSE,FALSE
1,"7067","pa_specific_self_control",0.666666666666667,0.775510204081633,FALSE,FALSE
1,"7067","action_planning",0.3,0.479591836734694,FALSE,FALSE
1,"7067","intention",0.388888888888889,0.193877551020408,FALSE,FALSE
1,"7067","perceived_behavioral_control",0.791666666666667,0.612244897959184,FALSE,FALSE
1,"7067","attitude",0.866666666666667,0.683673469387755,FALSE,FALSE
1,"7067","subjective_norm",0.361111111111111,0.122448979591837,FALSE,FALSE
1,"7067","intrinsic_motivation",1,0.969387755102041,FALSE,TRUE
1,"7067","motivational_competence",0.6875,0.683673469387755,FALSE,FALSE
1,"7067","workload_hours_per_week",40,0.622448979591837,TRUE,FALSE
1,"7067","pa_mvpa_hours_per_week",2,0.5,TRUE,FALSE
1,"7067","pa_total_hours_per_week",4.66666666666667,0.418367346938776,FALSE,FALSE
1,"7067","holiday_weeks",10,0.479591836734694,TRUE,FALSE
1,"7067","stress_weeks",10,0.428571428571429,TRUE,FALSE
1,"7067","normal_weeks_raw",32,0.642857142857143,FALSE,FALSE
1,"7067","care_work_hours_per_week",0,0.316326530612245,TRUE,FALSE
1,"7067","social_hours_per_week",20,0.510204081632653,TRUE,FALSE
1,"7067","wake_time_minutes",540,0.959183673469388,FALSE,TRUE
1,"7067","work_start_time_minutes",615,0.959183673469388,FALSE,TRUE
1,"7067","work_end_time_minutes",840,0.0918367346938776,FALSE,FALSE
1,"7067","break_duration_minutes",120,0.755102040816326,FALSE,FALSE
1,"7067","leisure_duration_minutes",360,0.846938775510204,FALSE,FALSE
1,"7067","bed_time_minutes",1500,0.979591836734694,FALSE,TRUE
1,"7067","workplace_distance_km",5,0.23469387755102,FALSE,FALSE
1,"7067","indoor_activity_distance_km",10,0.816326530612245,FALSE,FALSE
1,"7067","outdoor_activity_distance_km",1,0.520408163265306,FALSE,FALSE
1,"7067","residence_size_ordinal",4,0.816326530612245,FALSE,FALSE
1,"7067","residential_sealing",3,0.479591836734694,FALSE,FALSE
1,"7067","residential_nature_access",2,0.602040816326531,FALSE,FALSE
1,"7067","residential_active_routes",1,0.316326530612245,FALSE,FALSE
1,"7067","age_years",24.8081753903229,0.642857142857143,FALSE,FALSE
1,"7067","income_ordinal",1,0.302083333333333,FALSE,FALSE
1,"7067","household_size",5,0.928571428571429,FALSE,FALSE
1,"7067","household_minors",0,0.408163265306122,FALSE,FALSE
2,"8153","automaticity",0.166666666666667,0.59375,FALSE,FALSE
2,"8153","pa_specific_self_control",0.5,0.53125,FALSE,FALSE
2,"8153","action_planning",0.4,0.65625,FALSE,FALSE
2,"8153","intention",0.666666666666667,0.75,FALSE,FALSE
2,"8153","perceived_behavioral_control",0.916666666666667,0.84375,FALSE,FALSE
2,"8153","attitude",0.933333333333333,0.75,FALSE,FALSE
2,"8153","subjective_norm",0.722222222222222,0.8125,FALSE,FALSE
2,"8153","intrinsic_motivation",0.666666666666667,0.71875,FALSE,FALSE
2,"8153","motivational_competence",0.75,0.71875,FALSE,FALSE
2,"8153","workload_hours_per_week",40,0.59375,TRUE,FALSE
2,"8153","pa_mvpa_hours_per_week",1.66666666666667,0.625,TRUE,FALSE
2,"8153","pa_total_hours_per_week",8.66666666666667,0.875,FALSE,FALSE
2,"8153","holiday_weeks",8,0.65625,TRUE,FALSE
2,"8153","stress_weeks",10,0.625,TRUE,FALSE
2,"8153","normal_weeks_raw",34,0.46875,FALSE,FALSE
2,"8153","care_work_hours_per_week",2,0.40625,TRUE,FALSE
2,"8153","social_hours_per_week",24,0.6875,TRUE,FALSE
2,"8153","wake_time_minutes",420,0.53125,FALSE,FALSE
2,"8153","work_start_time_minutes",495,0.5,FALSE,FALSE
2,"8153","work_end_time_minutes",1020,0.4375,FALSE,FALSE
2,"8153","break_duration_minutes",105,0.71875,FALSE,FALSE
2,"8153","leisure_duration_minutes",240,0.5625,FALSE,FALSE
2,"8153","bed_time_minutes",1320,0.25,FALSE,FALSE
2,"8153","workplace_distance_km",3,0.46875,FALSE,FALSE
2,"8153","indoor_activity_distance_km",1.5,0.6875,FALSE,FALSE
2,"8153","outdoor_activity_distance_km",1.5,0.6875,FALSE,FALSE
2,"8153","residence_size_ordinal",4,0.71875,FALSE,FALSE
2,"8153","residential_sealing",2,0.46875,FALSE,FALSE
2,"8153","residential_nature_access",3,0.71875,FALSE,FALSE
2,"8153","residential_active_routes",1,0.34375,FALSE,FALSE
2,"8153","age_years",20.7095286008611,0.03125,FALSE,TRUE
2,"8153","income_ordinal",1,0.09375,FALSE,FALSE
2,"8153","household_size",2,0.625,FALSE,FALSE
2,"8153","household_minors",0,0.46875,FALSE,FALSE
3,"8237","automaticity",0.625,0.873134328358209,FALSE,FALSE
3,"8237","pa_specific_self_control",0.666666666666667,0.835820895522388,FALSE,FALSE
3,"8237","action_planning",0.65,0.791044776119403,FALSE,FALSE
3,"8237","intention",0.666666666666667,0.716417910447761,FALSE,FALSE
3,"8237","perceived_behavioral_control",0.583333333333333,0.402985074626866,FALSE,FALSE
3,"8237","attitude",0.633333333333333,0.328358208955224,FALSE,FALSE
3,"8237","subjective_norm",0.583333333333333,0.701492537313433,FALSE,FALSE
3,"8237","intrinsic_motivation",0.5,0.522388059701492,FALSE,FALSE
3,"8237","motivational_competence",0.625,0.619402985074627,FALSE,FALSE
3,"8237","workload_hours_per_week",40,0.708955223880597,TRUE,FALSE
3,"8237","pa_mvpa_hours_per_week",2.25,0.634328358208955,TRUE,FALSE
3,"8237","pa_total_hours_per_week",8.25,0.798507462686567,FALSE,FALSE
3,"8237","holiday_weeks",6,0.671641791044776,TRUE,FALSE
3,"8237","stress_weeks",14,0.447761194029851,TRUE,FALSE
3,"8237","normal_weeks_raw",32,0.567164179104478,FALSE,FALSE
3,"8237","care_work_hours_per_week",0,0.23134328358209,TRUE,FALSE
3,"8237","social_hours_per_week",10,0.462686567164179,TRUE,FALSE
3,"8237","wake_time_minutes",360,0.358208955223881,FALSE,FALSE
3,"8237","work_start_time_minutes",480,0.567164179104478,FALSE,FALSE
3,"8237","work_end_time_minutes",1020,0.485074626865672,FALSE,FALSE
3,"8237","break_duration_minutes",30,0.201492537313433,FALSE,FALSE
3,"8237","leisure_duration_minutes",290,0.634328358208955,FALSE,FALSE
3,"8237","bed_time_minutes",1365,0.567164179104478,FALSE,FALSE
3,"8237","workplace_distance_km",6,0.416666666666667,FALSE,FALSE
3,"8237","indoor_activity_distance_km",2,0.230769230769231,FALSE,FALSE
3,"8237","outdoor_activity_distance_km",0.5,0.174242424242424,FALSE,FALSE
3,"8237","residence_size_ordinal",5,0.925373134328358,FALSE,FALSE
3,"8237","residential_sealing",3,0.544776119402985,FALSE,FALSE
3,"8237","residential_nature_access",1,0.171641791044776,FALSE,FALSE
3,"8237","residential_active_routes",2,0.651515151515151,FALSE,FALSE
3,"8237","age_years",38.4210490290697,0.619402985074627,FALSE,FALSE
3,"8237","income_ordinal",4,0.166666666666667,FALSE,FALSE
3,"8237","household_size",1,0.134328358208955,FALSE,FALSE
3,"8237","household_minors",0,0.373134328358209,FALSE,FALSE
4,"8303","automaticity",0.125,0.208333333333333,FALSE,FALSE
4,"8303","pa_specific_self_control",0.583333333333333,0.708333333333333,FALSE,FALSE
4,"8303","action_planning",0,0.166666666666667,FALSE,FALSE
4,"8303","intention",0.166666666666667,0.125,FALSE,FALSE
4,"8303","perceived_behavioral_control",0.791666666666667,0.75,FALSE,FALSE
4,"8303","attitude",0.966666666666667,0.958333333333333,FALSE,TRUE
4,"8303","subjective_norm",0.444444444444444,0.25,FALSE,FALSE
4,"8303","intrinsic_motivation",0.5,0.541666666666667,FALSE,FALSE
4,"8303","motivational_competence",0.5625,0.5,FALSE,FALSE
4,"8303","workload_hours_per_week",0,0.333333333333333,TRUE,FALSE
4,"8303","pa_mvpa_hours_per_week",0.333333333333333,0.333333333333333,TRUE,FALSE
4,"8303","pa_total_hours_per_week",1,0.208333333333333,FALSE,FALSE
4,"8303","holiday_weeks",6,0.75,TRUE,FALSE
4,"8303","stress_weeks",37,0.708333333333333,TRUE,FALSE
4,"8303","normal_weeks_raw",9,0.458333333333333,FALSE,FALSE
4,"8303","care_work_hours_per_week",0,0.25,TRUE,FALSE
4,"8303","social_hours_per_week",10,0.666666666666667,TRUE,FALSE
4,"8303","wake_time_minutes",390,0.25,FALSE,FALSE
4,"8303","work_start_time_minutes",480,0.333333333333333,FALSE,FALSE
4,"8303","work_end_time_minutes",960,0.375,FALSE,FALSE
4,"8303","break_duration_minutes",60,0.375,FALSE,FALSE
4,"8303","leisure_duration_minutes",120,0.25,FALSE,FALSE
4,"8303","bed_time_minutes",1320,0.208333333333333,FALSE,FALSE
4,"8303","workplace_distance_km",15,0.875,FALSE,FALSE
4,"8303","indoor_activity_distance_km",10,0.791666666666667,FALSE,FALSE
4,"8303","outdoor_activity_distance_km",2,0.75,FALSE,FALSE
4,"8303","residence_size_ordinal",2,0.0416666666666667,FALSE,TRUE
4,"8303","residential_sealing",3,0.666666666666667,FALSE,FALSE
4,"8303","residential_nature_access",2,0.5,FALSE,FALSE
4,"8303","residential_active_routes",2,0.5,FALSE,FALSE
4,"8303","age_years",33.5201954865603,0.458333333333333,FALSE,FALSE
4,"8303","income_ordinal",2,0.333333333333333,FALSE,FALSE
4,"8303","household_size",2,0.5,FALSE,FALSE
4,"8303","household_minors",0,0.416666666666667,FALSE,FALSE
