"variant","k","average_silhouette","minimum_silhouette","negative_silhouette_n","negative_silhouette_proportion","minimum_cluster_size","maximum_cluster_size","cluster_sizes","pam_objective","silhouette_interpretation","meets_minimum_cluster_size"
"primary",2,0.307397575817482,-0.0319372277821543,5,0.0347222222222222,60,84,"84/60",0.138585196334641,"weak cluster structure",TRUE
"primary",3,0.365681663849117,-0.216824528658524,6,0.0416666666666667,17,72,"72/17/55",0.119935192323118,"weak cluster structure",TRUE
"primary",4,0.424923097426545,-0.0901801144076285,7,0.0486111111111111,12,67,"67/12/49/16",0.107040319106939,"weak cluster structure",TRUE
"primary",5,0.305474781156072,-0.0918217373998724,5,0.0347222222222222,12,51,"35/28/12/51/18",0.0999154322209036,"weak cluster structure",TRUE
"primary",6,0.310202711465589,-0.196180969202464,11,0.0763888888888889,6,51,"35/28/8/51/16/6",0.0943424554723227,"weak cluster structure",TRUE
"primary",7,0.321686736833444,-0.249347044599162,13,0.0902777777777778,6,49,"35/12/19/7/49/16/6",0.0892274916403407,"weak cluster structure",TRUE
"primary",8,0.340103649241372,-0.367253483917159,14,0.0972222222222222,6,48,"30/11/21/8/7/48/13/6",0.0839639881370412,"weak cluster structure",TRUE
"omit_pa",2,0.320099585208031,-0.0552671500909164,8,0.0555555555555556,64,80,"80/64",0.15032533204953,"weak cluster structure",TRUE
"omit_pa",3,0.383605656117126,-0.227304445581876,9,0.0625,17,72,"72/17/55",0.129342380461627,"weak cluster structure",TRUE
"omit_pa",4,0.452370620506668,-0.107033901183104,2,0.0138888888888889,12,63,"63/12/50/19",0.114293988706035,"weak cluster structure",TRUE
"omit_pa",5,0.324083968801486,-0.107033901183104,5,0.0347222222222222,12,50,"35/28/12/50/19",0.106297819661226,"weak cluster structure",TRUE
"omit_pa",6,0.335646546733307,-0.166259006065835,13,0.0902777777777778,6,48,"38/27/8/48/17/6",0.100171041879114,"weak cluster structure",TRUE
"omit_pa",7,0.363810778045384,-0.181423574315278,10,0.0694444444444444,6,47,"36/25/6/8/8/47/14",0.0939107879793897,"weak cluster structure",TRUE
"omit_pa",8,0.367512247246793,-0.251453192896489,15,0.104166666666667,6,47,"26/18/18/8/7/47/14/6",0.0876405842885096,"weak cluster structure",TRUE
"total_pa",2,0.30565436677887,-0.0491623117132457,7,0.0486111111111111,67,77,"77/67",0.14221296875347,"weak cluster structure",TRUE
"total_pa",3,0.360871069773333,-0.220960530899205,6,0.0416666666666667,17,72,"72/17/55",0.124344550363874,"weak cluster structure",TRUE
"total_pa",4,0.420346363532406,-0.100692897337213,10,0.0694444444444444,12,63,"63/12/20/49",0.111555388617434,"weak cluster structure",TRUE
"total_pa",5,0.295190126223576,-0.0940906855633612,7,0.0486111111111111,12,48,"40/26/12/48/18",0.103756804300829,"weak cluster structure",TRUE
"total_pa",6,0.305440267835074,-0.170812353670693,13,0.0902777777777778,6,48,"39/27/8/48/16/6",0.097975988716602,"weak cluster structure",TRUE
"total_pa",7,0.336279762106888,-0.158936781997424,9,0.0625,6,47,"38/26/8/6/47/13/6",0.0925608405523805,"weak cluster structure",TRUE
"total_pa",8,0.345858982329732,-0.159065650153774,8,0.0555555555555556,6,47,"27/18/19/8/6/47/13/6",0.0872552505589924,"weak cluster structure",TRUE
"omit_occupation",2,0.275518188088065,-0.093207207968192,7,0.0479452054794521,49,97,"97/49",0.105804617065927,"weak cluster structure",TRUE
"omit_occupation",3,0.285769889472648,-0.101866851382411,6,0.0410958904109589,15,90,"90/41/15",0.0935268705757492,"weak cluster structure",TRUE
"omit_occupation",4,0.296573699578326,-0.237237307049263,14,0.0958904109589041,13,73,"73/22/38/13",0.0854740105190448,"weak cluster structure",TRUE
"omit_occupation",5,0.320141156724873,-0.182843723511392,13,0.089041095890411,6,71,"71/23/36/10/6",0.079255325253706,"weak cluster structure",TRUE
"omit_occupation",6,0.307732777076323,-0.323167122027771,18,0.123287671232877,6,63,"63/20/36/10/11/6",0.0747498542369744,"weak cluster structure",TRUE
"omit_occupation",7,0.307834206457268,-0.315333422386964,21,0.143835616438356,6,64,"64/15/30/13/7/11/6",0.0710987096498625,"weak cluster structure",TRUE
"omit_occupation",8,0.324809243335084,-0.320031649230825,21,0.143835616438356,3,63,"63/15/30/13/7/11/4/3",0.0678579836139772,"weak cluster structure",FALSE
"add_daily_routine",2,0.234448779904057,-0.0769654190217624,10,0.0694444444444444,64,80,"80/64",0.124670818000092,"no substantial cluster structure",TRUE
"add_daily_routine",3,0.258189066565521,-0.269417131700972,8,0.0555555555555556,15,73,"73/15/56",0.115498570217846,"weak cluster structure",TRUE
"add_daily_routine",4,0.296559505501566,-0.186643698211757,3,0.0208333333333333,4,69,"69/20/51/4",0.10850989290226,"weak cluster structure",FALSE
"add_daily_routine",5,0.293343690695191,-0.118325673555017,9,0.0625,4,68,"68/10/48/14/4",0.102998467426441,"weak cluster structure",FALSE
"add_daily_routine",6,0.225175139752647,-0.127108659976656,14,0.0972222222222222,4,50,"50/20/8/48/14/4",0.0995795818147237,"no substantial cluster structure",FALSE
"add_daily_routine",7,0.247649697420793,-0.189144012370884,12,0.0833333333333333,4,48,"45/20/8/6/48/13/4",0.0966094264375186,"no substantial cluster structure",FALSE
"add_daily_routine",8,0.24355985118416,-0.155991725004921,12,0.0833333333333333,4,48,"45/18/6/6/4/48/13/4",0.0939194870768315,"no substantial cluster structure",FALSE
"add_poi",2,0.244195303471052,-0.112950332201809,9,0.0633802816901408,62,80,"80/62",0.133097725393123,"no substantial cluster structure",TRUE
"add_poi",3,0.294276837155813,-0.162336850265646,8,0.0563380281690141,17,73,"73/17/52",0.119309124292274,"weak cluster structure",TRUE
"add_poi",4,0.339191306292609,-0.147971380591848,5,0.0352112676056338,11,65,"65/11/49/17",0.110458084908856,"weak cluster structure",TRUE
"add_poi",5,0.243107249699317,-0.126522441829168,14,0.0985915492957746,11,49,"46/19/11/49/17",0.105143663959424,"no substantial cluster structure",TRUE
"add_poi",6,0.251634114014667,-0.163208122664952,10,0.0704225352112676,6,48,"45/20/8/48/15/6",0.100367574192404,"weak cluster structure",TRUE
"add_poi",7,0.248647862574512,-0.146511437207572,11,0.0774647887323944,6,48,"19/27/19/8/48/15/6",0.0961099269486564,"no substantial cluster structure",TRUE
"add_poi",8,0.212867775205744,-0.171227889950655,10,0.0704225352112676,6,37,"19/27/19/7/37/15/12/6",0.0924652146085003,"no substantial cluster structure",TRUE
"add_residential_context",2,0.181631283924162,-0.133133976970837,15,0.104895104895105,61,82,"61/82",0.173600723077251,"no substantial cluster structure",TRUE
