"variant","selected_k","repetitions","mean_adjusted_rand_index","median_adjusted_rand_index","q025_adjusted_rand_index","q975_adjusted_rand_index"
"primary",4,500,0.927515079574573,0.929479682355232,0.787644898538392,1
"omit_pa",4,200,0.951939525497899,0.969198798570855,0.730600003931855,1
"total_pa",4,200,0.917671999981021,0.920235616097418,0.812456694799808,1
"omit_occupation",5,200,0.821118039677232,0.838515586618192,0.513527132147019,1
"add_daily_routine",3,200,0.868477044894293,0.871454445359016,0.704496924001752,1
"add_poi",4,200,0.905697094613221,0.905933296669374,0.81635721854596,1
"add_residential_context",3,200,0.497653258573366,0.443933830631576,0.229514335691534,1
"add_sociodemographics",3,200,0.905060874719686,0.939934104399924,0.659160099439557,1
"add_routine_and_poi",4,200,0.862195269035546,0.890003859509259,0.5527929074306,1
"full_context",2,200,0.855444536468646,0.944782269680401,0.543110134823061,1
"phase_compatible",4,200,0.917323917992502,0.945225711619643,0.610566902201873,1
