step,t,month,hour,action,action_name,delta_hours,temp,precip_mm,wet,sun_frac,humidity,wind,snow_cover_flag,feels_like,lat,lon,current_node,poi_category,poi_name,target_node,mode,distance_m,travel_time_min
0,1,3,1,0,stay,1,0.4494789197121303,0.0,0,0.0,82.8847724754104,1.9146468927531362,0,-1.8256932070236094,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
1,2,3,2,0,stay,1,0.7146647748458714,0.0,0,0.0,89.56761976221298,1.9124251402730053,0,-1.5150018916539685,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
2,3,3,3,0,stay,1,-0.8192861244965086,0.0,0,0.0,85.66908621800079,2.492972153925958,0,-3.9853169319345483,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
3,4,3,4,0,stay,1,-0.26860586772938144,0.0,0,0.0,86.22978487318532,2.2074200594369655,0,-3.0190840113299284,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
4,5,3,5,0,stay,1,-0.6270252261213132,0.0,0,0.0,76.7072569190797,3.730536597796963,0,-4.856447063531277,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
5,6,3,6,0,stay,1,0.5360627921582453,0.0,0,0.0,80.10577666133548,2.470297000117678,0,-2.357034024437823,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
6,7,3,7,0,stay,1,2.5525619036554517,0.0,0,0.14748460077821585,79.29874889037814,1.2321278352161342,0,2.5525619036554517,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
7,8,3,8,0,stay,1,4.28856921606996,0.0,0,0.371794990222041,73.14880593566735,1.7737099311987838,0,2.7916210524942127,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
8,9,3,9,0,stay,1,5.31702523920913,0.0,0,0.530918845907592,73.86163863459362,2.973112615146252,0,2.906092830355244,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
9,10,3,10,0,stay,1,7.5959154851090025,0.0,0,0.6779627315892898,70.2152866020468,1.7654426387491429,0,6.618247208813379,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
10,11,3,11,0,stay,1,8.690347951797486,0.0,0,0.8178866308152851,61.483691062498174,3.02267023188264,0,6.924740075324465,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
11,12,3,12,0,stay,1,10.03312782412867,0.0,0,0.8580511176780231,60.3872543387526,3.3477102136407964,0,10.03312782412867,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
12,13,3,13,0,stay,1,7.889399523909026,0.0,0,0.8142993898222197,65.8892139958287,4.092863687209312,0,5.362388066034885,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
13,14,3,14,0,stay,1,8.583780505504038,0.0,0,0.7487996652775439,52.1952705013235,3.6866691472396393,0,6.420073967872027,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
14,15,3,15,0,stay,1,10.34396337260643,0.0,0,0.5959933243045067,63.64790053787492,0.7411764848199067,0,10.34396337260643,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
15,16,3,16,0,stay,1,10.08709703346343,0.0,0,0.3552294179638483,61.281693740024565,1.783709570773432,0,10.08709703346343,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
16,17,3,17,0,stay,1,10.465387049506727,0.0,0,0.283954429020563,68.02481175141776,1.8276758843834127,0,10.465387049506727,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
17,18,3,18,0,stay,1,9.302207133668345,0.0,0,0.09457551361920775,56.97616949654844,2.3494881845689197,0,8.104540130286217,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
18,19,3,19,0,stay,1,8.08984537233364,0.0,0,0.0,62.10043816601544,1.7009268411600886,0,7.25340350759489,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
19,20,3,20,0,stay,1,6.154416996797506,0.0,0,0.0,65.5221154596646,2.1564706732256336,0,4.564402238673948,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
20,21,3,21,0,stay,1,4.953923573006212,0.0,0,0.0,63.994514928757795,1.5838658719963123,0,3.7867401365011153,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
21,22,3,22,0,stay,1,3.228930081100785,0.0,0,0.0,75.60036616289284,2.4985263593848357,0,0.8038919703930563,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
22,23,3,23,0,stay,1,2.0325440954642744,2.084561181764431,1,0.0,91.14555578746051,3.1778841581373585,0,-1.201837969004992,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
23,24,3,0,0,stay,1,0.6611472339351006,0.0,0,0.0,77.87288182769889,2.9119555533560186,0,-2.6289161646795813,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
24,25,3,1,0,stay,1,-0.928355095477666,0.0,0,0.0,78.69917338845163,1.7528381469329988,0,-3.2012972444363776,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
25,26,3,2,0,stay,1,-0.07152976116759735,0.0,0,0.0,89.24922584540467,2.5804394245062294,0,-3.189277531191392,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
26,27,3,3,0,stay,1,1.5279682342314405,0.0,0,0.0,82.18883425624789,1.0915307828668437,0,1.5279682342314405,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
27,28,3,4,0,stay,1,0.4709833379972458,0.0,0,0.0,86.51862844776248,2.8862026051371017,0,-2.8337040180778574,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
28,29,3,5,0,stay,1,-0.07570884955596258,0.0,0,0.0,79.31120395408917,2.0269345935989507,0,-2.5775745787690694,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
29,30,3,6,0,stay,1,-0.8099710560951419,0.0,0,0.0,77.42595594028512,4.046561459217286,0,-5.311801483013612,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
30,31,3,7,0,stay,1,1.1901254870976834,0.0,0,0.1422026356946772,79.10434497413428,2.6250813693324675,0,-1.733922050397718,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
31,32,3,8,0,stay,1,3.0492841328791234,0.0,0,0.33473847552246194,79.41358194409908,2.4500914966250886,0,0.6362288350321579,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
32,33,3,9,0,stay,1,3.7340456839701415,0.0,0,0.5316442044597786,72.75107347501728,3.440930657065809,0,0.6642655171926274,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
33,34,3,10,0,stay,1,5.831013116602382,0.0,0,0.5296451431788946,68.70903831692316,2.2528386023029916,0,4.097369086904096,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
34,35,3,11,0,stay,1,5.912969225706618,4.220124254576414,1,0.26135077762924713,74.59756318118914,3.13389438790664,0,3.5099224031354757,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
35,36,3,12,0,stay,1,6.883083899502683,0.6374193207745616,1,0.24558368361008198,78.40368892151228,2.7528372599281083,0,4.940432384409322,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
36,37,3,13,0,stay,1,8.830431238988373,1.2739736895207654,1,0.24027682090194866,79.38289215914989,4.144756333287919,0,6.496170795676236,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
37,38,3,14,0,stay,1,7.877397754167109,1.412126144467424,1,0.22467475605122036,72.15202858962142,3.5977724021600577,0,5.606405332233481,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
38,39,3,15,0,stay,1,7.62615264344131,0.6745166678894666,1,0.2208234641490814,76.93209541735672,2.84971395788489,0,5.760330214235086,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
39,40,3,16,0,stay,1,7.504511590168839,2.1889078316734096,1,0.13444217034371184,71.1945195256945,1.7276951439184658,0,6.551693752795905,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
40,41,3,17,0,stay,1,8.863922898990253,0.9857894370708068,1,0.09174373529516272,81.32256767674203,2.9463888722902047,0,7.180307545227673,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
41,42,3,18,0,stay,1,8.720544706448017,0.2817702757053872,1,0.04500485819064047,71.68622731261993,2.487119098690697,0,7.316947565371482,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
42,43,3,19,0,stay,1,7.803883939148762,0.5946560299538501,1,0.0,78.94423918580979,2.6854250299004327,0,6.086486182423375,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
43,44,3,20,0,stay,1,6.660375036026352,1.7157242580588272,1,0.0,81.07349491155979,2.2951531694008795,0,5.0357206193646755,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
44,45,3,21,0,stay,1,7.12364748764969,3.374056608445043,1,0.0,79.43423318118815,3.137437616860194,0,4.966861490220024,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
45,46,3,22,0,stay,1,6.11540745788818,1.6464621897973508,1,0.0,81.45269661036572,2.6966065200851843,0,4.066899034506054,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
46,47,3,23,0,stay,1,5.754036638484833,0.0,0,0.0,82.807548084999,1.575975126418765,0,4.712376984204422,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
47,48,3,0,0,stay,1,5.221607090738122,0.0,0,0.0,82.90730404677194,1.2912189508163014,0,5.221607090738122,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
48,49,3,1,0,stay,1,4.03369059889854,0.0,0,0.0,74.94044518876234,2.1441234018209,0,2.0926402845139496,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
49,50,3,2,0,stay,1,2.6909082688869304,0.0,0,0.0,83.92659407471362,2.499017531845385,0,0.1661436398968203,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
50,51,3,3,0,stay,1,2.7380847218784568,0.0,0,0.0,80.32722298969105,1.1752796472952263,0,2.7380847218784568,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
51,52,3,4,0,stay,1,2.0499434892213544,0.0,0,0.0,87.05383506069028,3.0389619265622416,0,-1.0698032520217262,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
52,53,3,5,0,stay,1,2.2643002505535077,0.0,0,0.0,78.30680470019023,1.7830296657540345,0,0.4428546903913144,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
53,54,3,6,0,stay,1,3.0132244358140055,0.0,0,0.0,80.05352255613461,3.2379975596703154,0,-0.0636547167900719,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
54,55,3,7,0,stay,1,3.384178887001604,0.0,0,0.17618811212426105,78.07280540533766,4.569196211111384,0,-0.45636459739673696,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
55,56,3,8,0,stay,1,4.850973920231194,0.0,0,0.42554860395553507,79.31477702219837,2.019139148954268,0,3.174794154111661,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
56,57,3,9,0,stay,1,6.473522143451996,0.0,0,0.4723748333941069,70.01221446437819,1.848131128545472,0,5.235989480220924,46.9350164,7.4407309,5410957903,,,,,0.0,0.0
