trial,mode,travel_time_min,delta_hours,distance_m,target_category,target_name
0,walk,127.2296449705963,3,10178.371597647703,gym,Gym 1
1,bike,40.713486390590816,1,10178.371597647703,gym,Gym 1
2,drive,24.279181865164528,1,12139.590932582263,gym,Gym 1
3,walk,127.2296449705963,3,10178.371597647703,gym,Gym 1
4,bike,40.713486390590816,1,10178.371597647703,gym,Gym 1
5,drive,24.279181865164528,1,12139.590932582263,gym,Gym 1
6,walk,127.2296449705963,3,10178.371597647703,gym,Gym 1
7,bike,40.713486390590816,1,10178.371597647703,gym,Gym 1
8,drive,24.279181865164528,1,12139.590932582263,gym,Gym 1
9,walk,127.2296449705963,3,10178.371597647703,gym,Gym 1
10,bike,40.713486390590816,1,10178.371597647703,gym,Gym 1
11,drive,24.279181865164528,1,12139.590932582263,gym,Gym 1
12,walk,127.2296449705963,3,10178.371597647703,gym,Gym 1
13,bike,40.713486390590816,1,10178.371597647703,gym,Gym 1
14,drive,24.279181865164528,1,12139.590932582263,gym,Gym 1
